Cycles	Fluorescence	Sample	genotype
1	2.668843578	A1	S20
2	0.483349537	A1	S20
3	-0.064165339	A1	S20
4	-0.051166848	A1	S20
5	-0.130952953	A1	S20
6	-0.237064396	A1	S20
7	-0.198532051	A1	S20
8	-0.506145392	A1	S20
9	-0.335842588	A1	S20
10	-0.23488063	A1	S20
11	-0.151023347	A1	S20
12	-0.395691622	A1	S20
13	-0.2363892	A1	S20
14	-0.142357069	A1	S20
15	-0.307482576	A1	S20
16	-0.229248576	A1	S20
17	-0.146716201	A1	S20
18	-0.229240886	A1	S20
19	-0.067118364	A1	S20
20	0.022612377	A1	S20
21	-0.062791751	A1	S20
22	0.013657856	A1	S20
23	0.250542494	A1	S20
24	0.660852335	A1	S20
25	1.401969701	A1	S20
26	2.637086701	A1	S20
27	4.867121561	A1	S20
28	7.91832208	A1	S20
29	11.96314088	A1	S20
30	16.32509888	A1	S20
31	20.832327	A1	S20
32	24.81033456	A1	S20
33	28.66781874	A1	S20
34	31.79276454	A1	S20
35	34.35295136	A1	S20
36	36.07669925	A1	S20
37	37.07196046	A1	S20
38	37.99185416	A1	S20
39	38.2458753	A1	S20
40	38.73373014	A1	S20
1	0.562650529	A3	N
2	0.040195952	A3	N
3	0.059865031	A3	N
4	-0.002793342	A3	N
5	-0.07679026	A3	N
6	-0.020477381	A3	N
7	-0.210566136	A3	N
8	-0.113308721	A3	N
9	-0.107619417	A3	N
10	-0.012786192	A3	N
11	-0.087967868	A3	N
12	-0.085007013	A3	N
13	-0.090667984	A3	N
14	-0.156051253	A3	N
15	-0.079346275	A3	N
16	-0.160200831	A3	N
17	-0.160216211	A3	N
18	-0.083575396	A3	N
19	-0.086422851	A3	N
20	-0.002811644	A3	N
21	0.071005954	A3	N
22	-0.164384251	A3	N
23	-0.17409202	A3	N
24	-0.175424483	A3	N
25	-0.022471337	A3	N
26	-0.175394867	A3	N
27	-0.171058369	A3	N
28	-0.093287567	A3	N
29	-0.090351822	A3	N
30	-0.24615751	A3	N
31	-0.101821757	A3	N
32	-0.018228519	A3	N
33	-0.098905132	A3	N
34	-0.176798247	A3	N
35	-0.022611735	A3	N
36	-0.177049393	A3	N
37	-0.02329179	A3	N
38	-0.097554728	A3	N
39	0.132108211	A3	N
40	0.4351413	A3	N
1	-0.105138695	A5	N
2	0.045261243	A5	N
3	-0.2240489	A5	N
4	0.158128096	A5	N
5	0.08625352	A5	N
6	-0.06559396	A5	N
7	-0.093033292	A5	N
8	0.006880214	A5	N
9	0.013838258	A5	N
10	-0.112409991	A5	N
11	0.038138723	A5	N
12	-0.181514939	A5	N
13	-0.188490949	A5	N
14	-0.025748006	A5	N
15	-0.100162628	A5	N
16	-0.030919112	A5	N
17	-0.105369404	A5	N
18	-0.105360616	A5	N
19	-0.183271208	A5	N
20	0.048836964	A5	N
21	-0.103600606	A5	N
22	0.038205707	A5	N
23	-0.122636284	A5	N
24	-0.273185851	A5	N
25	-0.050315372	A5	N
26	-0.273952558	A5	N
27	-0.195230483	A5	N
28	-0.194764712	A5	N
29	-0.118178841	A5	N
30	-0.122910615	A5	N
31	-0.134594261	A5	N
32	-0.201492913	A5	N
33	-0.281971723	A5	N
34	-0.358912799	A5	N
35	-0.134901053	A5	N
36	0.0111103	A5	N
37	0.085917196	A5	N
38	0.162103247	A5	N
39	0.53314051	A5	N
40	1.346654604	A5	N
1	0.102459147	A6	S24
2	0.106743299	A6	S24
3	0.064304773	A6	S24
4	-0.063210884	A6	S24
5	0.086611279	A6	S24
6	-0.194448468	A6	S24
7	-0.283454096	A6	S24
8	-0.17573003	A6	S24
9	-0.166901721	A6	S24
10	-0.362222369	A6	S24
11	-0.135600101	A6	S24
12	-0.430482218	A6	S24
13	-0.439367957	A6	S24
14	-0.421712882	A6	S24
15	-0.646454711	A6	S24
16	-0.653009113	A6	S24
17	-0.578088638	A6	S24
18	-0.428264167	A6	S24
19	-0.582473275	A6	S24
20	-0.646521751	A6	S24
21	-0.575869027	A6	S24
22	-0.285421892	A6	S24
23	-0.001521847	A6	S24
24	0.519528756	A6	S24
25	1.416628802	A6	S24
26	3.21090458	A6	S24
27	5.986264196	A6	S24
28	9.87900214	A6	S24
29	14.30088179	A6	S24
30	18.55595504	A6	S24
31	22.71218262	A6	S24
32	26.478992	A6	S24
33	29.67574754	A6	S24
34	32.43513202	A6	S24
35	33.86220126	A6	S24
36	35.3500271	A6	S24
37	35.95503764	A6	S24
38	36.26839821	A6	S24
39	36.8734058	A6	S24
40	36.79042755	A6	S24
1	-0.194011717	B1	S1
2	0.048477835	B1	S1
3	0.06630056	B1	S1
4	-0.082560726	B1	S1
5	-0.001041668	B1	S1
6	-0.031176001	B1	S1
7	0.002805361	B1	S1
8	0.02190399	B1	S1
9	-0.054112809	B1	S1
10	0.0435175	B1	S1
11	-0.036508611	B1	S1
12	0.128665339	B1	S1
13	0.042243264	B1	S1
14	-0.028881374	B1	S1
15	0.052585107	B1	S1
16	0.129863441	B1	S1
17	0.048585069	B1	S1
18	0.04867515	B1	S1
19	0.208455157	B1	S1
20	0.377395424	B1	S1
21	0.293485981	B1	S1
22	0.856539644	B1	S1
23	1.41459375	B1	S1
24	2.14268373	B1	S1
25	3.926290321	B1	S1
26	7.007292693	B1	S1
27	11.47548668	B1	S1
28	16.83270357	B1	S1
29	22.03333025	B1	S1
30	27.541148	B1	S1
31	31.64401041	B1	S1
32	34.91681064	B1	S1
33	37.41129176	B1	S1
34	38.94467528	B1	S1
35	40.00492503	B1	S1
36	40.80855447	B1	S1
37	41.13961656	B1	S1
38	41.72143426	B1	S1
39	41.8095	B1	S1
40	41.55870632	B1	S1
1	-0.333782984	B3	N
2	-0.10914131	B3	N
3	0.1325069	B3	N
4	-0.00294274	B3	N
5	-0.001299721	B3	N
6	-0.019123129	B3	N
7	-0.130149298	B3	N
8	-0.18411083	B3	N
9	-0.103398749	B3	N
10	-0.084922317	B3	N
11	0.066940575	B3	N
12	0.069939596	B3	N
13	-0.161456421	B3	N
14	-0.074840609	B3	N
15	-0.074705429	B3	N
16	0.071383711	B3	N
17	-0.078954884	B3	N
18	-0.154195039	B3	N
19	-0.006707774	B3	N
20	0.00053016	B3	N
21	-0.152819548	B3	N
22	-0.008036206	B3	N
23	-0.168060383	B3	N
24	-0.244533821	B3	N
25	-0.394774425	B3	N
26	-0.169296703	B3	N
27	-0.390536002	B3	N
28	-0.238959207	B3	N
29	-0.311128591	B3	N
30	-0.163648054	B3	N
31	-0.09703366	B3	N
32	-0.165002926	B3	N
33	-0.244400003	B3	N
34	-0.32084325	B3	N
35	-0.319560341	B3	N
36	-0.320865184	B3	N
37	-0.244585373	B3	N
38	-0.242058892	B3	N
39	-0.391503842	B3	N
40	-0.318299076	B3	N
1	-0.745786184	B5	N
2	-0.312103327	B5	N
3	-0.003074259	B5	N
4	-0.061277753	B5	N
5	0.228679909	B5	N
6	0.14777543	B5	N
7	-0.027166108	B5	N
8	0.215054891	B5	N
9	0.294478498	B5	N
10	0.315673322	B5	N
11	0.390272391	B5	N
12	0.174423239	B5	N
13	0.460278079	B5	N
14	0.107563183	B5	N
15	0.327241828	B5	N
16	0.46850577	B5	N
17	0.249181104	B5	N
18	0.249247017	B5	N
19	0.465272394	B5	N
20	0.400364003	B5	N
21	0.397207731	B5	N
22	0.609825367	B5	N
23	0.233411138	B5	N
24	0.231642429	B5	N
25	0.0124607	B5	N
26	0.304578328	B5	N
27	0.23607877	B5	N
28	0.23714646	B5	N
29	0.313338298	B5	N
30	0.382565623	B5	N
31	0.372343021	B5	N
32	0.599387504	B5	N
33	0.667172689	B5	N
34	0.811251817	B5	N
35	1.396824547	B5	N
36	2.48990999	B5	N
37	4.609011723	B5	N
38	7.607655944	B5	N
39	11.91909155	B5	N
40	16.6624922	B5	N
1	-0.474176469	B6	N
2	-0.11041089	B6	N
3	0.127815538	B6	N
4	-0.003173799	B6	N
5	-0.074259698	B6	N
6	0.06002885	B6	N
7	-0.117275986	B6	N
8	-0.021062212	B6	N
9	-0.014976124	B6	N
10	-0.068076267	B6	N
11	-0.06678209	B6	N
12	0.083707262	B6	N
13	0.077295253	B6	N
14	0.016376762	B6	N
15	0.016397643	B6	N
16	0.085191373	B6	N
17	0.011744063	B6	N
18	0.0117155	B6	N
19	0.082067617	B6	N
20	0.089963821	B6	N
21	-0.060200891	B6	N
22	0.227378707	B6	N
23	-0.223992395	B6	N
24	-0.078802451	B6	N
25	-0.152487508	B6	N
26	-0.15305349	B6	N
27	-0.222692854	B6	N
28	-0.002025305	B6	N
29	-0.220471569	B6	N
30	-0.078005921	B6	N
31	-0.088441603	B6	N
32	-0.155342376	B6	N
33	-0.234356259	B6	N
34	-0.16325037	B6	N
35	-0.162565485	B6	N
36	-0.165215673	B6	N
37	-0.238561632	B6	N
38	-0.090608674	B6	N
39	0.054802921	B6	N
40	-0.096679318	B6	N
1	-0.118874052	C1	S1
2	0.121051117	C1	S1
3	-0.095495749	C1	S1
4	0.15577684	C1	S1
5	-0.080578338	C1	S1
6	-0.10075387	C1	S1
7	-0.060405901	C1	S1
8	-0.03798296	C1	S1
9	0.04847582	C1	S1
10	-0.092609416	C1	S1
11	-0.010766784	C1	S1
12	-0.248992789	C1	S1
13	-0.17450044	C1	S1
14	-0.082104325	C1	S1
15	-0.323488609	C1	S1
16	-0.247619011	C1	S1
17	0.07438666	C1	S1
18	-0.247394906	C1	S1
19	-0.089657292	C1	S1
20	0.159385464	C1	S1
21	0.39771189	C1	S1
22	0.712826852	C1	S1
23	1.263801161	C1	S1
24	2.868326392	C1	S1
25	5.679025545	C1	S1
26	9.533492866	C1	S1
27	14.12077951	C1	S1
28	19.58718038	C1	S1
29	24.8997114	C1	S1
30	29.38822759	C1	S1
31	32.80592555	C1	S1
32	35.24587998	C1	S1
33	37.07302456	C1	S1
34	38.10984125	C1	S1
35	38.99971692	C1	S1
36	39.31360679	C1	S1
37	39.72219858	C1	S1
38	39.49497382	C1	S1
39	39.90374538	C1	S1
40	40.21793018	C1	S1
1	-0.189315122	C3	N
2	0.106062709	C3	N
3	0.128768695	C3	N
4	0.070153123	C3	N
5	-0.295002007	C3	N
6	-0.009982521	C3	N
7	-0.335972427	C3	N
8	-0.163659614	C3	N
9	-0.15708702	C3	N
10	-0.359202595	C3	N
11	-0.357838417	C3	N
12	-0.354329046	C3	N
13	-0.509488773	C3	N
14	-0.571360431	C3	N
15	-0.645756369	C3	N
16	-0.57617497	C3	N
17	-0.799262193	C3	N
18	-0.873700402	C3	N
19	-0.653647799	C3	N
20	-0.794665841	C3	N
21	-0.946552015	C3	N
22	-1.027135682	C3	N
23	-1.185960318	C3	N
24	-1.113120568	C3	N
25	-1.261731234	C3	N
26	-1.261775108	C3	N
27	-1.331616612	C3	N
28	-1.255947632	C3	N
29	-1.252735039	C3	N
30	-1.330213986	C3	N
31	-1.41329379	C3	N
32	-1.629033213	C3	N
33	-1.558960243	C3	N
34	-1.634543236	C3	N
35	-1.707511678	C3	N
36	-1.634564074	C3	N
37	-1.633141082	C3	N
38	-1.630436533	C3	N
39	-1.70345814	C3	N
40	-1.705054002	C3	N
1	-1.040690853	C5	N
2	-0.398927072	C5	N
3	-0.019573118	C5	N
4	0.06708894	C5	N
5	0.06894234	C5	N
6	0.28246891	C5	N
7	0.115165143	C5	N
8	0.357872129	C5	N
9	0.220870402	C5	N
10	0.31667032	C5	N
11	0.535240955	C5	N
12	0.250063451	C5	N
13	0.170501829	C5	N
14	0.329729854	C5	N
15	0.112848214	C5	N
16	0.252013281	C5	N
17	0.180055614	C5	N
18	-0.036921437	C5	N
19	0.104139291	C5	N
20	0.11316693	C5	N
21	-0.034781998	C5	N
22	-0.258840453	C5	N
23	-0.559086309	C5	N
24	-0.127573304	C5	N
25	-0.271836005	C5	N
26	-0.488378682	C5	N
27	-0.266573659	C5	N
28	-0.192695947	C5	N
29	-0.550125651	C5	N
30	-0.409126343	C5	N
31	-0.63587095	C5	N
32	-0.555268726	C5	N
33	-0.632514147	C5	N
34	-0.778478586	C5	N
35	-0.849315683	C5	N
36	-0.707074044	C5	N
37	-0.634366748	C5	N
38	-0.921768641	C5	N
39	-0.200386346	C5	N
40	-0.277276424	C5	N
1	-0.416707539	C6	N
2	0.091363966	C6	N
3	-0.205549032	C6	N
4	0.048487194	C6	N
5	0.052918884	C6	N
6	0.012778989	C6	N
7	-0.084756076	C6	N
8	-0.09123262	C6	N
9	0.071561026	C6	N
10	-0.306628883	C6	N
11	-0.08432073	C6	N
12	-0.366046795	C6	N
13	-0.310939948	C6	N
14	-0.202974432	C6	N
15	-0.202813975	C6	N
16	-0.434436943	C6	N
17	-0.579701305	C6	N
18	-0.361451027	C6	N
19	-0.443059775	C6	N
20	-0.493834383	C6	N
21	-0.720454807	C6	N
22	-0.592613212	C6	N
23	-0.985572863	C6	N
24	-1.135172118	C6	N
25	-0.917348305	C6	N
26	-0.989855331	C6	N
27	-1.122164974	C6	N
28	-0.972827998	C6	N
29	-1.254585988	C6	N
30	-1.263214162	C6	N
31	-1.070833193	C6	N
32	-1.12212547	C6	N
33	-1.062289965	C6	N
34	-0.921271241	C6	N
35	-0.408915051	C6	N
36	0.747757825	C6	N
37	2.63918582	C6	N
38	5.77041721	C6	N
39	10.20431395	C6	N
40	14.84431571	C6	N
1	0.012439335	D1	S1
2	0.093712459	D1	S1
3	-0.045910617	D1	S1
4	0.04485011	D1	S1
5	-0.032800669	D1	S1
6	-0.059851283	D1	S1
7	-0.024576762	D1	S1
8	0.155053593	D1	S1
9	-0.159460186	D1	S1
10	-0.142451425	D1	S1
11	0.17940287	D1	S1
12	-0.138564404	D1	S1
13	-0.143729904	D1	S1
14	-0.133442555	D1	S1
15	-0.133210662	D1	S1
16	0.023122388	D1	S1
17	0.023025715	D1	S1
18	-0.13714057	D1	S1
19	0.02035753	D1	S1
20	0.107265832	D1	S1
21	0.264873709	D1	S1
22	0.740252341	D1	S1
23	1.290395432	D1	S1
24	2.649185142	D1	S1
25	4.889601135	D1	S1
26	8.330275825	D1	S1
27	12.8207116	D1	S1
28	18.42828473	D1	S1
29	23.56164464	D1	S1
30	28.27607573	D1	S1
31	31.68411089	D1	S1
32	34.59473897	D1	S1
33	36.49672829	D1	S1
34	37.77039709	D1	S1
35	39.21771174	D1	S1
36	39.77085167	D1	S1
37	40.01762315	D1	S1
38	40.11134096	D1	S1
39	40.3579787	D1	S1
40	40.59065086	D1	S1
1	-0.014298988	D3	N
2	-0.011603893	D3	N
3	0.084105694	D3	N
4	-0.047312966	D3	N
5	-0.045517191	D3	N
6	0.020328356	D3	N
7	-0.008468009	D3	N
8	0.090190366	D3	N
9	-0.272808909	D3	N
10	-0.029215132	D3	N
11	0.342920922	D3	N
12	-0.246697909	D3	N
13	-0.104915853	D3	N
14	-0.239970484	D3	N
15	-0.017289317	D3	N
16	0.05167212	D3	N
17	-0.096335338	D3	N
18	0.051998391	D3	N
19	-0.025648862	D3	N
20	0.057071452	D3	N
21	-0.094497151	D3	N
22	-0.101051784	D3	N
23	-0.038416583	D3	N
24	-0.26224401	D3	N
25	-0.262117871	D3	N
26	-0.040013002	D3	N
27	-0.108882493	D3	N
28	-0.107379566	D3	N
29	-0.252105928	D3	N
30	-0.181364966	D3	N
31	-0.117208837	D3	N
32	-0.331092871	D3	N
33	-0.187874511	D3	N
34	-0.411658394	D3	N
35	-0.262532485	D3	N
36	-0.264875933	D3	N
37	-0.338416752	D3	N
38	-0.114609104	D3	N
39	-0.188865368	D3	N
40	-0.044235491	D3	N
1	-0.834182678	D5	N
2	0.104476033	D5	N
3	0.031951125	D5	N
4	0.192913773	D5	N
5	-0.222821507	D5	N
6	-0.106519425	D5	N
7	-0.19204935	D5	N
8	-0.040621798	D5	N
9	-0.502682897	D5	N
10	-0.875162531	D5	N
11	-1.153290554	D5	N
12	-1.564976234	D5	N
13	-1.460714603	D5	N
14	-2.029226805	D5	N
15	-2.605385668	D5	N
16	-2.274963174	D5	N
17	-2.850708001	D5	N
18	-2.922672259	D5	N
19	-3.302173941	D5	N
20	-3.397581025	D5	N
21	-3.84890777	D5	N
22	-3.815426936	D5	N
23	-4.313916311	D5	N
24	-4.539481879	D5	N
25	-4.827118822	D5	N
26	-5.115334909	D5	N
27	-5.015988634	D5	N
28	-5.151763852	D5	N
29	-5.925626244	D5	N
30	-5.802164592	D5	N
31	-6.00311429	D5	N
32	-6.101615519	D5	N
33	-6.058588753	D5	N
34	-6.571553777	D5	N
35	-6.778661707	D5	N
36	-7.147953416	D5	N
37	-7.355269379	D5	N
38	-7.194048033	D5	N
39	-7.68964578	D5	N
40	-7.052447208	D5	N
1	-0.212770094	E1	S1
2	-0.210249956	E1	S1
3	0.205675519	E1	S1
4	-0.018795436	E1	S1
5	0.141330249	E1	S1
6	-0.117960375	E1	S1
7	0.161490235	E1	S1
8	0.103702968	E1	S1
9	0.029598348	E1	S1
10	-0.27250177	E1	S1
11	-0.030000447	E1	S1
12	0.214265242	E1	S1
13	-0.113224343	E1	S1
14	0.139926654	E1	S1
15	0.059611396	E1	S1
16	0.135408139	E1	S1
17	0.215856552	E1	S1
18	0.13556743	E1	S1
19	0.373614998	E1	S1
20	0.381317532	E1	S1
21	0.458635159	E1	S1
22	0.773802389	E1	S1
23	1.645758025	E1	S1
24	3.00846817	E1	S1
25	5.095134694	E1	S1
26	8.947634243	E1	S1
27	13.53231566	E1	S1
28	19.31723502	E1	S1
29	24.94841236	E1	S1
30	30.15797387	E1	S1
31	34.13528456	E1	S1
32	37.94060404	E1	S1
33	40.00676211	E1	S1
34	41.68491488	E1	S1
35	42.2533655	E1	S1
36	43.20883177	E1	S1
37	43.29605655	E1	S1
38	43.39069232	E1	S1
39	43.79888523	E1	S1
40	43.70975389	E1	S1
1	-0.806327178	E3	N
2	-0.292104753	E3	N
3	-0.122056274	E3	N
4	0.039994332	E3	N
5	0.188459199	E3	N
6	0.185707497	E3	N
7	0.159822341	E3	N
8	0.260617378	E3	N
9	0.267889152	E3	N
10	0.142793618	E3	N
11	0.36745025	E3	N
12	0.445577318	E3	N
13	0.36392976	E3	N
14	0.304155176	E3	N
15	0.229855951	E3	N
16	0.373067553	E3	N
17	0.150097875	E3	N
18	0.29883148	E3	N
19	0.295002589	E3	N
20	0.37855551	E3	N
21	0.003119644	E3	N
22	0.070391582	E3	N
23	0.206377323	E3	N
24	0.055961369	E3	N
25	0.129911867	E3	N
26	0.277600071	E3	N
27	-0.015100338	E3	N
28	0.059523312	E3	N
29	-0.012801921	E3	N
30	-0.017963043	E3	N
31	0.192708106	E3	N
32	0.274822634	E3	N
33	0.194084928	E3	N
34	0.414285166	E3	N
35	1.379997755	E3	N
36	2.490230627	E3	N
37	4.346759661	E3	N
38	7.022770557	E3	N
39	10.06842831	E3	N
40	12.81051832	E3	N
1	-0.38251067	E5	S24
2	-0.024449063	E5	S24
3	0.005225961	E5	S24
4	0.024179253	E5	S24
5	0.097655751	E5	S24
6	-0.102611902	E5	S24
7	0.09857639	E5	S24
8	0.058821059	E5	S24
9	0.067727381	E5	S24
10	-0.120345514	E5	S24
11	0.170346693	E5	S24
12	0.17483787	E5	S24
13	-0.050283991	E5	S24
14	-0.032964825	E5	S24
15	0.039481452	E5	S24
16	0.032807646	E5	S24
17	0.033125128	E5	S24
18	-0.039124755	E5	S24
19	0.100932355	E5	S24
20	0.039568275	E5	S24
21	0.107653859	E5	S24
22	0.171053866	E5	S24
23	0.588643663	E5	S24
24	1.163005102	E5	S24
25	2.028206182	E5	S24
26	4.33449318	E5	S24
27	7.515421118	E5	S24
28	11.77333946	E5	S24
29	16.68629984	E5	S24
30	22.30211792	E5	S24
31	26.59371541	E5	S24
32	30.66086473	E5	S24
33	33.95679644	E5	S24
34	35.96769152	E5	S24
35	37.41570538	E5	S24
36	38.27234252	E5	S24
37	38.8551449	E5	S24
38	39.08505511	E5	S24
39	39.45176722	E5	S24
