temperature	df/dt	Sample	genotype		
64.52	-0.862712133	A1	S20		
64.57915851	-0.862712133	A1	S20		
64.63831703	-0.647477067	A1	S20		
64.69747554	-0.366441822	A1	S20		
64.75663405	-0.05073936	A1	S20		
64.81579256	0.267408901	A1	S20		
64.87495108	0.547279363	A1	S20		
64.93410959	0.733985836	A1	S20		
64.9932681	0.809555191	A1	S20		
65.05242661	0.860900378	A1	S20		
65.11158513	0.962121458	A1	S20		
65.17074364	1.09119415	A1	S20		
65.22990215	1.22210351	A1	S20		
65.28906067	1.345427843	A1	S20		
65.34821918	1.460746675	A1	S20		
65.40737769	1.567324554	A1	S20		
65.4665362	1.664623209	A1	S20		
65.52569472	1.754286634	A1	S20		
65.58485323	1.831484196	A1	S20		
65.64401174	1.88389178	A1	S20		
65.70317025	1.904466343	A1	S20		
65.76232877	1.899994011	A1	S20		
65.82148728	1.885410607	A1	S20		
65.88064579	1.872627	A1	S20		
65.93980431	1.860469148	A1	S20		
65.99896282	1.843277394	A1	S20		
66.05812133	1.818851406	A1	S20		
66.11727984	1.791580929	A1	S20		
66.17643836	1.770860872	A1	S20		
66.23559687	1.74973591	A1	S20		
66.29475538	1.717309482	A1	S20		
66.35391389	1.682402716	A1	S20		
66.41307241	1.656232404	A1	S20		
66.47223092	1.639008755	A1	S20		
66.53138943	1.624344981	A1	S20		
66.59054795	1.609202895	A1	S20		
66.64970646	1.598610499	A1	S20		
66.70886497	1.601713225	A1	S20		
66.76802348	1.622708027	A1	S20		
66.827182	1.653344725	A1	S20		
66.88634051	1.687560517	A1	S20		
66.94549902	1.726861205	A1	S20		
67.00465753	1.759015704	A1	S20		
67.06381605	1.773234502	A1	S20		
67.12297456	1.775369904	A1	S20		
67.18213307	1.763126555	A1	S20		
67.24129159	1.732331181	A1	S20		
67.3004501	1.693267542	A1	S20		
67.35960861	1.65632567	A1	S20		
67.41876712	1.633073038	A1	S20		
67.47792564	1.631755183	A1	S20		
67.53708415	1.646124766	A1	S20		
67.59624266	1.66469968	A1	S20		
67.65540117	1.679405285	A1	S20		
67.71455969	1.688529463	A1	S20		
67.7737182	1.69671134	A1	S20		
67.83287671	1.710602333	A1	S20		
67.89203523	1.731394225	A1	S20		
67.95119374	1.764536159	A1	S20		
68.01035225	1.808547075	A1	S20		
68.06951076	1.847473519	A1	S20		
68.12866928	1.871761879	A1	S20		
68.18782779	1.872770221	A1	S20		
68.2469863	1.839581908	A1	S20		
68.30614481	1.778273256	A1	S20		
68.36530333	1.715410664	A1	S20		
68.42446184	1.684318404	A1	S20		
68.48362035	1.70294722	A1	S20		
68.54277886	1.761089515	A1	S20		
68.60193738	1.833616342	A1	S20		
68.66109589	1.895648688	A1	S20		
68.7202544	1.928038583	A1	S20		
68.77941292	1.926248547	A1	S20		
68.83857143	1.908458736	A1	S20		
68.89772994	1.895793793	A1	S20		
68.95688845	1.89665746	A1	S20		
69.01604697	1.907741443	A1	S20		
69.07520548	1.920330572	A1	S20		
69.13436399	1.929021632	A1	S20		
69.1935225	1.935503042	A1	S20		
69.25268102	1.94871435	A1	S20		
69.31183953	1.976171356	A1	S20		
69.37099804	2.01640139	A1	S20		
69.43015656	2.059443728	A1	S20		
69.48931507	2.10128047	A1	S20		
69.54847358	2.148506316	A1	S20		
69.60763209	2.203391177	A1	S20		
69.66679061	2.260850433	A1	S20		
69.72594912	2.31783113	A1	S20		
69.78510763	2.369688293	A1	S20		
69.84426614	2.400214588	A1	S20		
69.90342466	2.394195838	A1	S20		
69.96258317	2.362050786	A1	S20		
70.02174168	2.326871276	A1	S20		
70.0809002	2.303626195	A1	S20		
70.14005871	2.298873843	A1	S20		
70.19921722	2.310791524	A1	S20		
70.25837573	2.337236578	A1	S20		
70.31753425	2.380698076	A1	S20		
70.37669276	2.434441927	A1	S20		
70.43585127	2.483789411	A1	S20		
70.49500978	2.526629147	A1	S20		
70.5541683	2.568226367	A1	S20		
70.61332681	2.610255778	A1	S20		
70.67248532	2.658118013	A1	S20		
70.73164384	2.713233441	A1	S20		
70.79080235	2.768281822	A1	S20		
70.84996086	2.813415791	A1	S20		
70.90911937	2.846617826	A1	S20		
70.96827789	2.870690977	A1	S20		
71.0274364	2.882188422	A1	S20		
71.08659491	2.886174246	A1	S20		
71.14575342	2.895769728	A1	S20		
71.20491194	2.92673301	A1	S20		
71.26407045	2.985441083	A1	S20		
71.32322896	3.063976754	A1	S20		
71.38238748	3.150606792	A1	S20		
71.44154599	3.235318137	A1	S20		
71.5007045	3.315715452	A1	S20		
71.55986301	3.388705402	A1	S20		
71.61902153	3.445183333	A1	S20		
71.67818004	3.484601155	A1	S20		
71.73733855	3.514477507	A1	S20		
71.79649706	3.535443681	A1	S20		
71.85565558	3.551709126	A1	S20		
71.91481409	3.572782137	A1	S20		
71.9739726	3.606579095	A1	S20		
72.03313112	3.659123532	A1	S20		
72.09228963	3.734676576	A1	S20		
72.15144814	3.84334211	A1	S20		
72.21060665	3.989690705	A1	S20		
72.26976517	4.167456724	A1	S20		
72.32892368	4.367657107	A1	S20		
72.38808219	4.576775913	A1	S20		
72.4472407	4.774734951	A1	S20		
72.50639922	4.941935382	A1	S20		
72.56555773	5.075447179	A1	S20		
72.62471624	5.187307965	A1	S20		
72.68387476	5.290055608	A1	S20		
72.74303327	5.385230299	A1	S20		
72.80219178	5.476879502	A1	S20		
72.86135029	5.587045073	A1	S20		
72.92050881	5.729179551	A1	S20		
72.97966732	5.901334817	A1	S20		
73.03882583	6.10132432	A1	S20		
73.09798434	6.326224609	A1	S20		
73.15714286	6.557308536	A1	S20		
73.21630137	6.769992083	A1	S20		
73.27545988	6.957589467	A1	S20		
73.3346184	7.122195568	A1	S20		
73.39377691	7.271676938	A1	S20		
73.45293542	7.418203159	A1	S20		
73.51209393	7.564608074	A1	S20		
73.57125245	7.71970842	A1	S20		
73.63041096	7.899261243	A1	S20		
73.68956947	8.08484001	A1	S20		
73.74872798	8.25404367	A1	S20		
73.8078865	8.425209266	A1	S20		
73.86704501	8.627296673	A1	S20		
73.92620352	8.86874311	A1	S20		
73.98536204	9.137374552	A1	S20		
74.04452055	9.403899898	A1	S20		
74.10367906	9.640829588	A1	S20		
74.16283757	9.844600419	A1	S20		
74.22199609	10.0300513	A1	S20		
74.2811546	10.21371556	A1	S20		
74.34031311	10.38800311	A1	S20		
74.39947162	10.54099174	A1	S20		
74.45863014	10.66571096	A1	S20		
74.51778865	10.76885928	A1	S20		
74.57694716	10.88638435	A1	S20		
74.63610568	11.05460148	A1	S20		
74.69526419	11.2799849	A1	S20		
74.7544227	11.4978403	A1	S20		
74.81358121	11.6570543	A1	S20		
74.87273973	11.77739327	A1	S20		
74.93189824	11.87731106	A1	S20		
74.99105675	11.95408077	A1	S20		
75.05021526	12.00029044	A1	S20		
75.10937378	12.00854719	A1	S20		
75.16853229	12.00034917	A1	S20		
75.2276908	12.00336019	A1	S20		
75.28684932	11.99917409	A1	S20		
75.34600783	11.96685641	A1	S20		
75.40516634	11.90630113	A1	S20		
75.46432485	11.81842273	A1	S20		
75.52348337	11.70118174	A1	S20		
75.58264188	11.54596657	A1	S20		
75.64180039	11.35055452	A1	S20		
75.7009589	11.1304826	A1	S20		
75.76011742	10.89712537	A1	S20		
75.81927593	10.64194462	A1	S20		
75.87843444	10.37169695	A1	S20		
75.93759295	10.11680824	A1	S20		
75.99675147	9.877553391	A1	S20		
76.05590998	9.62943017	A1	S20		
76.11506849	9.370529907	A1	S20		
76.17422701	9.113812966	A1	S20		
76.23338552	8.847677757	A1	S20		
76.29254403	8.552244124	A1	S20		
76.35170254	8.232268484	A1	S20		
76.41086106	7.898064448	A1	S20		
76.47001957	7.561896181	A1	S20		
76.52917808	7.234543295	A1	S20		
76.58833659	6.919027664	A1	S20		
76.64749511	6.619773475	A1	S20		
76.70665362	6.334570293	A1	S20		
76.76581213	6.052621466	A1	S20		
76.82497065	5.763944207	A1	S20		
76.88412916	5.466520973	A1	S20		
76.94328767	5.163915703	A1	S20		
77.00244618	4.859022354	A1	S20		
77.0616047	4.558806277	A1	S20		
77.12076321	4.27534616	A1	S20		
77.17992172	4.018985867	A1	S20		
77.23908023	3.790760398	A1	S20		
77.29823875	3.581853015	A1	S20		
77.35739726	3.383194085	A1	S20		
77.41655577	3.190557083	A1	S20		
77.47571429	3.008159057	A1	S20		
77.5348728	2.840493459	A1	S20		
77.59403131	2.68268588	A1	S20		
77.65318982	2.528487386	A1	S20		
77.71234834	2.379645615	A1	S20		
77.77150685	2.240143352	A1	S20		
77.83066536	2.109281032	A1	S20		
77.88982387	1.985107307	A1	S20		
77.94898239	1.868247516	A1	S20		
78.0081409	1.761081322	A1	S20		
78.06729941	1.665021716	A1	S20		
78.12645793	1.578463165	A1	S20		
78.18561644	1.498621428	A1	S20		
78.24477495	1.419781991	A1	S20		
78.30393346	1.338525217	A1	S20		
78.36309198	1.257685717	A1	S20		
78.42225049	1.183282458	A1	S20		
78.481409	1.119671551	A1	S20		
78.54056751	1.06688714	A1	S20		
78.59972603	1.023571551	A1	S20		
78.65888454	0.987439438	A1	S20		
78.71804305	0.955792112	A1	S20		
78.77720157	0.925686641	A1	S20		
78.83636008	0.893962798	A1	S20		
78.89551859	0.858212941	A1	S20		
78.9546771	0.818478899	A1	S20		
79.01383562	0.780447308	A1	S20		
79.07299413	0.748711356	A1	S20		
79.13215264	0.719499903	A1	S20		
79.19131115	0.689305347	A1	S20		
79.25046967	0.659793757	A1	S20		
79.30962818	0.635959256	A1	S20		
79.36878669	0.621156703	A1	S20		
79.42794521	0.612056932	A1	S20		
79.48710372	0.602803666	A1	S20		
79.54626223	0.590454331	A1	S20		
79.60542074	0.572257579	A1	S20		
79.66457926	0.546707021	A1	S20		
79.72373777	0.519920239	A1	S20		
79.78289628	0.499181081	A1	S20		
79.84205479	0.485511498	A1	S20		
79.90121331	0.476968024	A1	S20		
79.96037182	0.470961182	A1	S20		
80.01953033	0.466177956	A1	S20		
80.07868885	0.463070234	A1	S20		
80.13784736	0.460351746	A1	S20		
80.19700587	0.457175094	A1	S20		
80.25616438	0.454643467	A1	S20		
80.3153229	0.453414761	A1	S20		
80.37448141	0.45544825	A1	S20		
