Cycles	Fluorescence	Sample 	genotype
1	-0.112021242	A1	N
2	-0.018217666	A1	N
3	0.015990694	A1	N
4	-0.02657712	A1	N
5	-0.029625091	A1	N
6	0.058429182	A1	N
7	-0.095765844	A1	N
8	-0.005205492	A1	N
9	0.00917911	A1	N
10	-0.059010488	A1	N
11	-0.002998257	A1	N
12	0.007646137	A1	N
13	0.00994046	A1	N
14	-0.040942067	A1	N
15	-0.043217437	A1	N
16	-0.042537853	A1	N
17	-0.043239684	A1	N
18	-0.0522925	A1	N
19	0.010656904	A1	N
20	0.022109428	A1	N
21	0.019903007	A1	N
22	-0.156371569	A1	N
23	-0.046263507	A1	N
24	-0.203990297	A1	N
25	-0.210435873	A1	N
26	-0.157113246	A1	N
27	-0.097987822	A1	N
28	-0.091231844	A1	N
29	0.021469082	A1	N
30	-0.029629051	A1	N
31	0.016020498	A1	N
32	-0.092669891	A1	N
33	0.195247566	A1	N
34	0.41164804	A1	N
35	0.974483009	A1	N
36	1.479131196	A1	N
37	2.095766235	A1	N
38	2.495590325	A1	N
39	2.70953026	A1	N
40	2.658306208	A1	N
1	-0.026898164	A2	N
2	0.00582583	A2	N
3	0.142927252	A2	N
4	-0.056849988	A2	N
5	-0.006359742	A2	N
6	-0.085543351	A2	N
7	-0.016879525	A2	N
8	-0.093379555	A2	N
9	-0.078390715	A2	N
10	-0.091054505	A2	N
11	0.015580516	A2	N
12	0.080366537	A2	N
13	0.082799386	A2	N
14	-0.072009749	A2	N
15	-0.020832635	A2	N
16	0.033354304	A2	N
17	-0.07444127	A2	N
18	0.022831838	A2	N
19	-0.023349419	A2	N
20	-0.011332531	A2	N
21	-0.120975753	A2	N
22	-0.128758506	A2	N
23	-0.024514969	A2	N
24	-0.119926747	A2	N
25	-0.234518132	A2	N
26	-0.184798663	A2	N
27	-0.075489316	A2	N
28	-0.068947266	A2	N
29	-0.123151817	A2	N
30	-0.11810028	A2	N
31	-0.075805614	A2	N
32	-0.286057008	A2	N
33	-0.065476944	A2	N
34	-0.181487273	A2	N
35	-0.074644714	A2	N
36	-0.236856246	A2	N
37	-0.185152306	A2	N
38	-0.127831676	A2	N
39	-0.24180732	A2	N
40	-0.238752975	A2	N
1	-0.164609795	A3	S2
2	0.018858919	A3	S2
3	-0.059321432	A3	S2
4	0.060273718	A3	S2
5	-0.098080904	A3	S2
6	0.078269698	A3	S2
7	-0.058292752	A3	S2
8	-0.084397739	A3	S2
9	-0.015978511	A3	S2
10	-0.081710052	A3	S2
11	-0.081705048	A3	S2
12	-0.017784196	A3	S2
13	0.036258953	A3	S2
14	-0.059973849	A3	S2
15	-0.114008317	A3	S2
16	0.040887999	A3	S2
17	0.142750153	A3	S2
18	-0.022286182	A3	S2
19	-0.065373024	A3	S2
20	0.205497985	A3	S2
21	0.305616015	A3	S2
22	0.295847268	A3	S2
23	0.908683789	A3	S2
24	1.645355016	A3	S2
25	2.970170423	A3	S2
26	4.709556053	A3	S2
27	6.771467522	A3	S2
28	8.488995868	A3	S2
29	9.878302935	A3	S2
30	10.92782268	A3	S2
31	11.45221412	A3	S2
32	11.31306688	A3	S2
33	11.49145892	A3	S2
34	11.66391765	A3	S2
35	11.86951337	A3	S2
36	11.60637334	A3	S2
37	11.75435054	A3	S2
38	11.82103024	A3	S2
39	11.69055786	A3	S2
40	11.59981142	A3	S2
1	-0.149463589	A4	N
2	-0.033080029	A4	N
3	0.028462581	A4	N
4	0.00243582	A4	N
5	0.047150264	A4	N
6	-0.044968636	A4	N
7	-0.119725138	A4	N
8	-0.057998339	A4	N
9	-0.132699064	A4	N
10	-0.103686368	A4	N
11	-0.103677075	A4	N
12	-0.185011926	A4	N
13	-0.131364012	A4	N
14	-0.271745858	A4	N
15	-0.425011603	A4	N
16	-0.224545515	A4	N
17	-0.175978762	A4	N
18	-0.290778445	A4	N
19	-0.478502218	A4	N
20	-0.210468522	A4	N
21	-0.363971868	A4	N
22	-0.426357641	A4	N
23	-0.330734221	A4	N
24	-0.511748227	A4	N
25	-0.672733045	A4	N
26	-0.429155849	A4	N
27	-0.424992911	A4	N
28	-0.46431129	A4	N
29	-0.514706519	A4	N
30	-0.506562064	A4	N
31	-0.573817634	A4	N
32	-0.567622219	A4	N
33	-0.458045626	A4	N
34	-0.571526616	A4	N
35	-0.471969545	A4	N
36	-0.374827575	A4	N
37	-0.277995961	A4	N
38	0.0274083	A4	N
39	0.513320037	A4	N
40	0.917522803	A4	N
1	-0.09802369	A5	N
2	0.07099848	A5	N
3	0.088496468	A5	N
4	-0.039039577	A5	N
5	-0.043344187	A5	N
6	-0.077111185	A5	N
7	-0.057053472	A5	N
8	-0.087643124	A5	N
9	-0.01877899	A5	N
10	-0.084393542	A5	N
11	-0.035719858	A5	N
12	-0.118457437	A5	N
13	-0.017691273	A5	N
14	-0.107880977	A5	N
15	-0.11106843	A5	N
16	-0.061179991	A5	N
17	-0.159963682	A5	N
18	-0.026084702	A5	N
19	-0.162949679	A5	N
20	-0.098479125	A5	N
21	-0.15044755	A5	N
22	-0.209643689	A5	N
23	-0.066301484	A5	N
24	-0.19722988	A5	N
25	-0.255350335	A5	N
26	-0.210636552	A5	N
27	-0.157707725	A5	N
28	-0.197227004	A5	N
29	-0.197177387	A5	N
