temperature	df/dt	Sample	genotype
64.25	-0.132179579	B3	S2
64.30970646	-0.132179579	B3	S2
64.36941292	-0.057937526	B3	S2
64.42911937	0.018548265	B3	S2
64.48882583	0.078481051	B3	S2
64.54853229	0.128324979	B3	S2
64.60823875	0.183733544	B3	S2
64.66794521	0.231427656	B3	S2
64.72765166	0.264269226	B3	S2
64.78735812	0.303243455	B3	S2
64.84706458	0.358759211	B3	S2
64.90677104	0.420978564	B3	S2
64.9664775	0.484006567	B3	S2
65.02618395	0.544090234	B3	S2
65.08589041	0.593701995	B3	S2
65.14559687	0.627530619	B3	S2
65.20530333	0.647195031	B3	S2
65.26500978	0.653658277	B3	S2
65.32471624	0.650511881	B3	S2
65.3844227	0.648268913	B3	S2
65.44412916	0.651257546	B3	S2
65.50383562	0.654436783	B3	S2
65.56354207	0.653548756	B3	S2
65.62324853	0.646381197	B3	S2
65.68295499	0.631801751	B3	S2
65.74266145	0.610681713	B3	S2
65.80236791	0.586382078	B3	S2
65.86207436	0.564438623	B3	S2
65.92178082	0.550864772	B3	S2
65.98148728	0.54931445	B3	S2
66.04119374	0.560353337	B3	S2
66.1009002	0.581495503	B3	S2
66.16060665	0.604356417	B3	S2
66.22031311	0.619805409	B3	S2
66.28001957	0.628111923	B3	S2
66.33972603	0.637707423	B3	S2
66.39943249	0.656008618	B3	S2
66.45913894	0.683561387	B3	S2
66.5188454	0.715100593	B3	S2
66.57855186	0.745560525	B3	S2
66.63825832	0.770970498	B3	S2
66.69796477	0.786208464	B3	S2
66.75767123	0.796072441	B3	S2
66.81737769	0.812625218	B3	S2
66.87708415	0.837346079	B3	S2
66.93679061	0.864326504	B3	S2
66.99649706	0.885480311	B3	S2
67.05620352	0.894351935	B3	S2
67.11590998	0.896271051	B3	S2
67.17561644	0.905663472	B3	S2
67.2353229	0.930670631	B3	S2
67.29502935	0.967050347	B3	S2
67.35473581	1.004165808	B3	S2
67.41444227	1.034391706	B3	S2
67.47414873	1.057652484	B3	S2
67.53385519	1.074226141	B3	S2
67.59356164	1.087128575	B3	S2
67.6532681	1.105132292	B3	S2
67.71297456	1.131972073	B3	S2
67.77268102	1.168308888	B3	S2
67.83238748	1.214702129	B3	S2
67.89209393	1.266123535	B3	S2
67.95180039	1.319119284	B3	S2
68.01150685	1.37240271	B3	S2
68.07121331	1.421724755	B3	S2
68.13091977	1.464766609	B3	S2
68.19062622	1.506123845	B3	S2
68.25033268	1.551114168	B3	S2
68.31003914	1.602285175	B3	S2
68.3697456	1.661592837	B3	S2
68.42945205	1.729967059	B3	S2
68.48915851	1.804607214	B3	S2
68.54886497	1.88120607	B3	S2
68.60857143	1.956785377	B3	S2
68.66827789	2.030455653	B3	S2
68.72798434	2.101363547	B3	S2
68.7876908	2.169493383	B3	S2
68.84739726	2.236927578	B3	S2
68.90710372	2.306761405	B3	S2
68.96681018	2.383940554	B3	S2
69.02651663	2.471896615	B3	S2
69.08622309	2.57123109	B3	S2
69.14592955	2.679024163	B3	S2
69.20563601	2.786297415	B3	S2
69.26534247	2.88008976	B3	S2
69.32504892	2.961474216	B3	S2
69.38475538	3.04020373	B3	S2
69.44446184	3.121926426	B3	S2
69.5041683	3.219867314	B3	S2
69.56387476	3.342220305	B3	S2
69.62358121	3.476855123	B3	S2
69.68328767	3.610844809	B3	S2
69.74299413	3.738731253	B3	S2
69.80270059	3.854371683	B3	S2
69.86240705	3.963971446	B3	S2
69.9221135	4.078061534	B3	S2
69.98181996	4.199891422	B3	S2
70.04152642	4.332299618	B3	S2
70.10123288	4.478233596	B3	S2
70.16093933	4.633751158	B3	S2
70.22064579	4.794261635	B3	S2
70.28035225	4.964194517	B3	S2
70.34005871	5.152459611	B3	S2
70.39976517	5.359432607	B3	S2
70.45947162	5.580247077	B3	S2
70.51917808	5.821435464	B3	S2
70.57888454	6.084265266	B3	S2
70.638591	6.353449051	B3	S2
70.69829746	6.620443947	B3	S2
70.75800391	6.88507809	B3	S2
70.81771037	7.151252899	B3	S2
70.87741683	7.422860345	B3	S2
70.93712329	7.70477553	B3	S2
70.99682975	8.005666434	B3	S2
71.0565362	8.310241726	B3	S2
71.11624266	8.582498179	B3	S2
71.17594912	8.813789227	B3	S2
71.23565558	9.029096824	B3	S2
71.29536204	9.234850904	B3	S2
71.35506849	9.400990434	B3	S2
71.41477495	9.500499186	B3	S2
71.47448141	9.540143138	B3	S2
71.53418787	9.553714542	B3	S2
71.59389432	9.563721166	B3	S2
71.65360078	9.571794682	B3	S2
71.71330724	9.566543553	B3	S2
71.7730137	9.532500165	B3	S2
71.83272016	9.469447934	B3	S2
71.89242661	9.385678066	B3	S2
71.95213307	9.277562463	B3	S2
72.01183953	9.128191194	B3	S2
72.07154599	8.922213658	B3	S2
72.13125245	8.647077143	B3	S2
72.1909589	8.320033401	B3	S2
72.25066536	7.968206595	B3	S2
72.31037182	7.609430555	B3	S2
72.37007828	7.255666041	B3	S2
72.42978474	6.914832865	B3	S2
72.48949119	6.595090636	B3	S2
72.54919765	6.296074578	B3	S2
72.60890411	6.011913829	B3	S2
72.66861057	5.736166711	B3	S2
72.72831703	5.462485552	B3	S2
72.78802348	5.191849484	B3	S2
72.84772994	4.938421075	B3	S2
72.9074364	4.703446809	B3	S2
72.96714286	4.472169412	B3	S2
73.02684932	4.235084822	B3	S2
73.08655577	3.993888544	B3	S2
73.14626223	3.750611284	B3	S2
73.20596869	3.505097421	B3	S2
73.26567515	3.259026775	B3	S2
73.3253816	3.017115763	B3	S2
73.38508806	2.789501679	B3	S2
73.44479452	2.583571467	B3	S2
73.50450098	2.401861719	B3	S2
73.56420744	2.245095749	B3	S2
73.62391389	2.106696139	B3	S2
73.68362035	1.975620321	B3	S2
73.74332681	1.846178852	B3	S2
73.80303327	1.716567608	B3	S2
73.86273973	1.586884222	B3	S2
73.92244618	1.460108127	B3	S2
73.98215264	1.340476899	B3	S2
74.0418591	1.231966395	B3	S2
74.10156556	1.133980171	B3	S2
74.16127202	1.04172108	B3	S2
74.22097847	0.953854952	B3	S2
74.28068493	0.874356091	B3	S2
74.34039139	0.806379001	B3	S2
74.40009785	0.749552073	B3	S2
74.45980431	0.701634699	B3	S2
74.51951076	0.660547036	B3	S2
74.57921722	0.624515634	B3	S2
74.63892368	0.592779632	B3	S2
74.69863014	0.563540175	B3	S2
74.75833659	0.535354416	B3	S2
74.81804305	0.508256139	B3	S2
74.87774951	0.480051308	B3	S2
74.93745597	0.448246255	B3	S2
74.99716243	0.415032866	B3	S2
75.05686888	0.38415366	B3	S2
75.11657534	0.35809073	B3	S2
75.1762818	0.338661718	B3	S2
75.23598826	0.325421122	B3	S2
75.29569472	0.315328835	B3	S2
75.35540117	0.305061437	B3	S2
75.41510763	0.29449378	B3	S2
75.47481409	0.28560187	B3	S2
75.53452055	0.278490538	B3	S2
75.59422701	0.272136536	B3	S2
75.65393346	0.266466389	B3	S2
75.71363992	0.261292284	B3	S2
75.77334638	0.256156868	B3	S2
75.83305284	0.250881078	B3	S2
75.8927593	0.246697193	B3	S2
75.95246575	0.244009659	B3	S2
76.01217221	0.241268601	B3	S2
76.07187867	0.237698351	B3	S2
76.13158513	0.233418597	B3	S2
76.19129159	0.229030676	B3	S2
76.25099804	0.225221896	B3	S2
76.3107045	0.222895123	B3	S2
76.37041096	0.223383554	B3	S2
76.43011742	0.225818987	B3	S2
76.48982387	0.22702676	B3	S2
76.54953033	0.225210771	B3	S2
76.60923679	0.220626341	B3	S2
76.66894325	0.21446908	B3	S2
76.72864971	0.208764051	B3	S2
76.78835616	0.204995339	B3	S2
76.84806262	0.201877988	B3	S2
76.90776908	0.197755118	B3	S2
76.96747554	0.19376554	B3	S2
77.027182	0.191355832	B3	S2
77.08688845	0.19163629	B3	S2
77.14659491	0.19496289	B3	S2
77.20630137	0.199339867	B3	S2
77.26600783	0.202412809	B3	S2
77.32571429	0.203027011	B3	S2
77.38542074	0.201236113	B3	S2
77.4451272	0.197067656	B3	S2
77.50483366	0.190155012	B3	S2
77.56454012	0.181476945	B3	S2
77.62424658	0.17317406	B3	S2
77.68395303	0.167267613	B3	S2
77.74365949	0.164874048	B3	S2
77.80336595	0.166191821	B3	S2
77.86307241	0.170993389	B3	S2
77.92277886	0.177491937	B3	S2
77.98248532	0.18258936	B3	S2
78.04219178	0.184548848	B3	S2
78.10189824	0.184721625	B3	S2
78.1616047	0.185417517	B3	S2
78.22131115	0.187169512	B3	S2
78.28101761	0.188177501	B3	S2
78.34072407	0.186373243	B3	S2
78.40043053	0.182891879	B3	S2
78.46013699	0.179863731	B3	S2
78.51984344	0.177567868	B3	S2
78.5795499	0.176965049	B3	S2
78.63925636	0.178353097	B3	S2
78.69896282	0.180349217	B3	S2
78.75866928	0.181516497	B3	S2
78.81837573	0.180309302	B3	S2
78.87808219	0.177370177	B3	S2
78.93778865	0.174845983	B3	S2
78.99749511	0.173647698	B3	S2
79.05720157	0.173840854	B3	S2
79.11690802	0.175837853	B3	S2
79.17661448	0.180671032	B3	S2
79.23632094	0.187815992	B3	S2
79.2960274	0.194676365	B3	S2
79.35573386	0.199095888	B3	S2
79.41544031	0.201188738	B3	S2
79.47514677	0.202080804	B3	S2
79.53485323	0.202544181	B3	S2
79.59455969	0.202481156	B3	S2
79.65426614	0.200072138	B3	S2
79.7139726	0.194919447	B3	S2
79.77367906	0.189439553	B3	S2
79.83338552	0.186409388	B3	S2
79.89309198	0.187055221	B3	S2
79.95279843	0.191741396	B3	S2
80.01250489	0.198910522	B3	S2
80.07221135	0.204108899	B3	S2
80.13191781	0.205590918	B3	S2
80.19162427	0.20543874	B3	S2
80.25133072	0.204373312	B3	S2
80.31103718	0.201439542	B3	S2
80.37074364	0.196341982	B3	S2
80.4304501	0.189783595	B3	S2
80.49015656	0.183977073	B3	S2
80.54986301	0.181941225	B3	S2
80.60956947	0.184472464	B3	S2
80.66927593	0.190367279	B3	S2
80.72898239	0.198576467	B3	S2
80.78868885	0.207510243	B3	S2
80.8483953	0.214595712	B3	S2
80.90810176	0.218075372	B3	S2
80.96780822	0.218279104	B3	S2
81.02751468	0.216781239	B3	S2
81.08722114	0.213144742	B3	S2
81.14692759	0.207505907	B3	S2
81.20663405	0.202161006	B3	S2
81.26634051	0.198048434	B3	S2
81.32604697	0.19546068	B3	S2
81.38575342	0.194353313	B3	S2
81.44545988	0.194835347	B3	S2
81.50516634	0.197525176	B3	S2
81.5648728	0.202595618	B3	S2
81.62457926	0.209132978	B3	S2
81.68428571	0.215483068	B3	S2
81.74399217	0.21999303	B3	S2
81.80369863	0.220742441	B3	S2
81.86340509	0.216881597	B3	S2
81.92311155	0.211376205	B3	S2
81.982818	0.20870512	B3	S2
82.04252446	0.21004496	B3	S2
82.10223092	0.213281827	B3	S2
82.16193738	0.215475236	B3	S2
82.22164384	0.21463477	B3	S2
82.28135029	0.211501026	B3	S2
82.34105675	0.208027312	B3	S2
82.40076321	0.205498409	B3	S2
82.46046967	0.204865782	B3	S2
82.52017613	0.204787312	B3	S2
82.57988258	0.203267625	B3	S2
82.63958904	0.201868334	B3	S2
82.6992955	0.202541585	B3	S2
82.75900196	0.204014058	B3	S2
82.81870841	0.203363216	B3	S2
82.87841487	0.199366559	B3	S2
82.93812133	0.19431787	B3	S2
82.99782779	0.190786253	B3	S2
83.05753425	0.18884484	B3	S2
83.1172407	0.187312811	B3	S2
83.17694716	0.185678389	B3	S2
83.23665362	0.183590786	B3	S2
83.29636008	0.180588252	B3	S2
83.35606654	0.177064966	B3	S2
83.41577299	0.175499883	B3	S2
83.47547945	0.1780428	B3	S2
83.53518591	0.183566162	B3	S2
83.59489237	0.189796797	B3	S2
83.65459883	0.194706249	B3	S2
83.71430528	0.197407745	B3	S2
83.77401174	0.198338855	B3	S2
83.8337182	0.197853277	B3	S2
83.89342466	0.195362687	B3	S2
83.95313112	0.190528118	B3	S2
84.01283757	0.184079692	B3	S2
84.07254403	0.178276039	B3	S2
84.13225049	0.174730951	B3	S2
84.19195695	0.172768345	B3	S2
84.25166341	0.172164538	B3	S2
84.31136986	0.173182427	B3	S2
84.37107632	0.175042311	B3	S2
84.43078278	0.177534925	B3	S2
84.49048924	0.181385686	B3	S2
84.55019569	0.186178236	B3	S2
84.60990215	0.190659121	B3	S2
84.66960861	0.193100004	B3	S2
84.72931507	0.19213912	B3	S2
84.78902153	0.187907396	B3	S2
84.84872798	0.182786032	B3	S2
84.90843444	0.179697983	B3	S2
84.9681409	0.178731881	B3	S2
85.02784736	0.178159219	B3	S2
85.08755382	0.176691772	B3	S2
85.14726027	0.173668199	B3	S2
85.20696673	0.16983824	B3	S2
85.26667319	0.166784893	B3	S2
85.32637965	0.165479237	B3	S2
85.38608611	0.166267225	B3	S2
85.44579256	0.168570227	B3	S2
85.50549902	0.171747564	B3	S2
85.56520548	0.174852613	B3	S2
85.62491194	0.176181768	B3	S2
85.6846184	0.175437538	B3	S2
85.74432485	0.173891184	B3	S2
85.80403131	0.171967766	B3	S2
85.86373777	0.169031753	B3	S2
85.92344423	0.16366838	B3	S2
85.98315068	0.156082138	B3	S2
86.04285714	0.14897944	B3	S2
86.1025636	0.144181244	B3	S2
86.16227006	0.141938546	B3	S2
86.22197652	0.142492842	B3	S2
86.28168297	0.146299605	B3	S2
86.34138943	0.152299283	B3	S2
