Cycles	Fluorescence	Sample	genotype
1	0.179797551	A1	N
2	0.020597931	A1	N
3	0.013032783	A1	N
4	-0.060374437	A1	N
5	0.089084545	A1	N
6	-0.062340822	A1	N
7	0.09315415	A1	N
8	0.175452467	A1	N
9	0.250080542	A1	N
10	0.008350691	A1	N
11	0.169180111	A1	N
12	0.015003564	A1	N
13	0.091137701	A1	N
14	0.095110639	A1	N
15	0.33024787	A1	N
16	0.412145736	A1	N
17	0.481941321	A1	N
18	0.095737379	A1	N
19	0.326395857	A1	N
20	0.331703126	A1	N
21	0.104703965	A1	N
22	0.244757893	A1	N
23	0.336021555	A1	N
24	0.41964123	A1	N
25	0.236988634	A1	N
26	0.23051222	A1	N
27	0.152100307	A1	N
28	0.461335309	A1	N
29	0.30524603	A1	N
30	0.389578198	A1	N
31	0.235413792	A1	N
32	0.310307848	A1	N
33	0.312538096	A1	N
34	0.232554306	A1	N
35	0.309510615	A1	N
36	0.15545185	A1	N
37	0.235722577	A1	N
38	0.463506986	A1	N
39	0.467486707	A1	N
40	0.308843123	A1	N
1	-0.052090622	A2	N
2	-0.129055113	A2	N
3	0.086597591	A2	N
4	0.017105952	A2	N
5	0.010291874	A2	N
6	0.015059696	A2	N
7	0.08858064	A2	N
8	0.092612617	A2	N
9	0.089226972	A2	N
10	0.08175819	A2	N
11	0.160788447	A2	N
12	0.311506824	A2	N
13	0.012206512	A2	N
14	0.164970072	A2	N
15	0.239842926	A2	N
16	0.243460027	A2	N
17	0.309822956	A2	N
18	0.165490868	A2	N
19	0.384710386	A2	N
20	0.241300989	A2	N
21	0.398364543	A2	N
22	0.455361541	A2	N
23	0.468924891	A2	N
24	0.399709616	A2	N
25	0.299006759	A2	N
26	0.440321545	A2	N
27	0.36562587	A2	N
28	0.437958584	A2	N
29	0.363314457	A2	N
30	0.369931231	A2	N
31	0.445451407	A2	N
32	0.516448256	A2	N
33	0.518756446	A2	N
34	0.590416124	A2	N
35	0.811461478	A2	N
36	0.961202958	A2	N
37	1.630838222	A2	N
38	2.954949438	A2	N
39	4.591033319	A2	N
40	7.25009972	A2	N
1	0.165953842	A3	N
2	0.01996034	A3	N
3	0.011281974	A3	N
4	-0.125960965	A3	N
5	0.080280298	A3	N
6	0.014438353	A3	N
7	0.227625801	A3	N
8	0.232484721	A3	N
9	0.228485836	A3	N
10	0.219505525	A3	N
11	0.296616249	A3	N
12	0.298873103	A3	N
13	0.296516137	A3	N
14	0.158746918	A3	N
15	0.302157195	A3	N
16	0.377824841	A3	N
17	0.368552009	A3	N
18	0.444991511	A3	N
19	0.440494034	A3	N
20	0.303851318	A3	N
21	0.312870295	A3	N
22	0.507667511	A3	N
23	0.66618846	A3	N
24	0.52940705	A3	N
25	0.427096137	A3	N
26	0.419365371	A3	N
27	0.418593118	A3	N
28	0.558710661	A3	N
29	0.557819064	A3	N
30	0.423586025	A3	N
31	0.567412919	A3	N
32	0.492930814	A3	N
33	0.708761488	A3	N
34	0.705947102	A3	N
35	0.705019295	A3	N
36	0.635841762	A3	N
37	0.852323107	A3	N
38	0.916379851	A3	N
39	1.063702898	A3	N
40	0.775913972	A3	N
1	0.132925792	A4	N
2	-0.077861619	A4	N
3	0.052571876	A4	N
4	-0.080608713	A4	N
5	0.050326811	A4	N
6	0.055571645	A4	N
7	-0.014445744	A4	N
8	0.059052996	A4	N
9	0.055516316	A4	N
10	0.185560393	A4	N
11	-0.085718247	A4	N
12	0.19312173	A4	N
13	0.052509617	A4	N
14	-0.081549189	A4	N
15	0.126844783	A4	N
16	0.199931372	A4	N
17	0.122367709	A4	N
18	-0.011745909	A4	N
19	0.192052624	A4	N
20	0.128282105	A4	N
21	0.136483718	A4	N
22	0.050147115	A4	N
23	0.202014698	A4	N
24	0.068522126	A4	N
25	0.111134878	A4	N
26	0.173258213	A4	N
27	-0.033884734	A4	N
28	0.308576859	A4	N
29	0.170210506	A4	N
30	0.108117161	A4	N
31	0.109595267	A4	N
32	0.106688828	A4	N
33	0.039930281	A4	N
34	0.175485348	A4	N
35	0.037044534	A4	N
36	-0.168169015	A4	N
37	-0.02762591	A4	N
38	0.242635593	A4	N
39	0.178294574	A4	N
40	0.038308949	A4	N
1	0.14741968	A5	N
2	0.007460115	A5	N
3	0.063914035	A5	N
4	-0.13242899	A5	N
5	0.128695461	A5	N
6	-0.067640622	A5	N
7	-0.068630328	A5	N
8	0.141098051	A5	N
9	-0.067667538	A5	N
10	-0.078656806	A5	N
11	0.064097324	A5	N
12	-0.136582224	A5	N
13	-0.003889357	A5	N
14	0.138078199	A5	N
15	0.003200867	A5	N
16	0.076246708	A5	N
17	0.064909197	A5	N
18	0.071076892	A5	N
19	0.201503385	A5	N
20	0.141023209	A5	N
21	0.084309145	A5	N
22	0.128546627	A5	N
23	0.147073003	A5	N
24	0.154337978	A5	N
25	0.116718199	A5	N
26	0.174578645	A5	N
27	-0.096768119	A5	N
28	0.238055588	A5	N
29	0.101802038	A5	N
30	0.110696538	A5	N
31	-0.022647016	A5	N
32	0.040746479	A5	N
33	0.11134637	A5	N
34	0.10807596	A5	N
35	0.107144411	A5	N
36	-0.025974104	A5	N
37	-0.022238496	A5	N
38	0.307846657	A5	N
39	0.178547854	A5	N
40	0.107030433	A5	N
1	0.182253095	A6	N
2	-0.157400215	A6	N
3	0.172690377	A6	N
4	-0.092215091	A6	N
5	0.036262821	A6	N
6	0.040662108	A6	N
7	0.107438771	A6	N
8	0.043547769	A6	N
9	0.040688775	A6	N
10	0.033920442	A6	N
11	-0.096380756	A6	N
12	0.040042297	A6	N
13	0.105420913	A6	N
14	-0.02550748	A6	N
15	-0.024947292	A6	N
16	0.045472095	A6	N
17	0.106086793	A6	N
18	0.042421005	A6	N
19	0.039187549	A6	N
20	0.043547769	A6	N
21	0.117790954	A6	N
22	0.036135142	A6	N
23	0.114286145	A6	N
24	0.118328472	A6	N
25	0.09532398	A6	N
26	0.088756536	A6	N
27	-0.114005462	A6	N
28	0.151339356	A6	N
29	-0.051121618	A6	N
30	0.020191279	A6	N
31	-0.046238075	A6	N
32	0.152082216	A6	N
33	0.086570413	A6	N
34	0.285721147	A6	N
35	0.284915816	A6	N
36	0.420251594	A6	N
37	1.09356756	A6	N
38	2.360323265	A6	N
39	4.110178957	A6	N
40	6.854002894	A6	N
1	0.038807739	B1	N
2	-0.117523464	B1	N
3	0.104554017	B1	N
4	0.032967878	B1	N
5	-0.050850182	B1	N
6	0.030851751	B1	N
7	0.106650516	B1	N
8	0.110966175	B1	N
9	0.030621712	B1	N
10	0.022807638	B1	N
11	-0.125427302	B1	N
12	0.02998629	B1	N
13	-0.048868883	B1	N
14	0.338878949	B1	N
15	0.262774149	B1	N
16	0.420186484	B1	N
17	0.334701988	B1	N
18	0.492910593	B1	N
19	0.641934645	B1	N
20	0.341008811	B1	N
21	0.349735683	B1	N
22	0.561348872	B1	N
23	0.499388537	B1	N
24	0.351168579	B1	N
25	0.399508654	B1	N
26	0.392359367	B1	N
27	0.467818358	B1	N
28	0.389938732	B1	N
29	0.617680634	B1	N
30	0.548884963	B1	N
31	0.626902614	B1	N
32	0.547264308	B1	N
33	0.473460149	B1	N
34	0.547348153	B1	N
35	0.470148605	B1	N
36	0.319197356	B1	N
37	0.70397946	B1	N
38	0.545347855	B1	N
39	0.70269558	B1	N
40	0.699899925	B1	N
1	-0.210986058	B2	N
2	-0.140567669	B2	N
3	-0.002847413	B2	N
4	0.075362073	B2	N
5	0.067868466	B2	N
6	0.000184542	B2	N
7	-0.073639212	B2	N
8	0.149622482	B2	N
9	2.43E-05	B2	N
10	0.064809348	B2	N
11	-0.002876301	B2	N
12	-0.000783203	B2	N
13	0.142837266	B2	N
14	0.074400958	B2	N
15	0.293839215	B2	N
16	0.005555562	B2	N
17	0.143279364	B2	N
18	0.220744009	B2	N
19	0.435350408	B2	N
20	0.222411077	B2	N
21	0.157763321	B2	N
22	0.140202364	B2	N
23	0.080635596	B2	N
24	0.15914726	B2	N
25	0.059245552	B2	N
26	0.19756446	B2	N
27	0.34190652	B2	N
28	0.267867815	B2	N
29	0.339392278	B2	N
30	0.419233245	B2	N
31	0.348123015	B2	N
32	0.345005024	B2	N
33	0.129586867	B2	N
34	0.199816575	B2	N
35	0.344083183	B2	N
36	0.273202844	B2	N
37	0.421116339	B2	N
38	0.415154689	B2	N
39	0.492038588	B2	N
40	0.561431197	B2	N
1	-0.005528729	B3	N
2	-0.07851357	B3	N
3	0.193075494	B3	N
4	-0.151621307	B3	N
5	0.050832248	B3	N
6	-0.013772864	B3	N
7	0.195261413	B3	N
8	0.059776721	B3	N
9	-0.01387779	B3	N
10	0.04779468	B3	N
11	-0.156758992	B3	N
12	0.055274806	B3	N
13	0.052975395	B3	N
14	-0.082380081	B3	N
15	0.128186999	B3	N
16	-0.008113019	B3	N
17	0.053664848	B3	N
18	0.198182716	B3	N
19	0.403941231	B3	N
20	-0.010421093	B3	N
21	0.138257657	B3	N
22	0.050559965	B3	N
23	0.34469185	B3	N
24	0.069396038	B3	N
25	0.1120514	B3	N
26	0.244361457	B3	N
27	0.243589474	B3	N
28	0.102850597	B3	N
29	0.310696183	B3	N
30	0.317984323	B3	N
31	0.319538345	B3	N
32	0.177051932	B3	N
33	0.109670524	B3	N
34	0.246720637	B3	N
35	0.245850522	B3	N
36	0.108156774	B3	N
37	0.389875375	B3	N
38	0.244681452	B3	N
39	0.318876992	B3	N
40	0.316285913	B3	N
1	-0.045838838	B4	N
2	-0.116740752	B4	N
