temperature	df/dt	Sample	genotype
64.28	-0.143221413	A1	S9
64.33964775	-0.143221413	A1	S9
64.3992955	-0.119970198	A1	S9
64.45894325	-0.116889788	A1	S9
64.518591	-0.098350455	A1	S9
64.57823875	-0.033870482	A1	S9
64.6378865	0.063278583	A1	S9
64.69753425	0.170795662	A1	S9
64.757182	0.275557148	A1	S9
64.81682975	0.370184416	A1	S9
64.8764775	0.44913456	A1	S9
64.93612524	0.508420413	A1	S9
64.99577299	0.547690658	A1	S9
65.05542074	0.571739396	A1	S9
65.11506849	0.583653263	A1	S9
65.17471624	0.584851144	A1	S9
65.23436399	0.580123446	A1	S9
65.29401174	0.572732688	A1	S9
65.35365949	0.560850139	A1	S9
65.41330724	0.545738178	A1	S9
65.47295499	0.529528622	A1	S9
65.53260274	0.509048386	A1	S9
65.59225049	0.481873659	A1	S9
65.65189824	0.448716852	A1	S9
65.71154599	0.413002684	A1	S9
65.77119374	0.378425094	A1	S9
65.83084149	0.346303088	A1	S9
65.89048924	0.322528966	A1	S9
65.95013699	0.316331815	A1	S9
66.00978474	0.325935444	A1	S9
66.06943249	0.34350262	A1	S9
66.12908023	0.363978583	A1	S9
66.18872798	0.382594659	A1	S9
66.24837573	0.397100169	A1	S9
66.30802348	0.405520346	A1	S9
66.36767123	0.405843374	A1	S9
66.42731898	0.397966083	A1	S9
66.48696673	0.382051023	A1	S9
66.54661448	0.363207903	A1	S9
66.60626223	0.34779437	A1	S9
66.66590998	0.335585182	A1	S9
66.72555773	0.323090785	A1	S9
66.78520548	0.313897898	A1	S9
66.84485323	0.311737267	A1	S9
66.90450098	0.310584961	A1	S9
66.96414873	0.307430537	A1	S9
67.02379648	0.308775765	A1	S9
67.08344423	0.319940496	A1	S9
67.14309198	0.337047034	A1	S9
67.20273973	0.355478846	A1	S9
67.26238748	0.375919731	A1	S9
67.32203523	0.399196143	A1	S9
67.38168297	0.42100189	A1	S9
67.44133072	0.438207967	A1	S9
67.50097847	0.449987769	A1	S9
67.56062622	0.453379141	A1	S9
67.62027397	0.446763319	A1	S9
67.67992172	0.43037766	A1	S9
67.73956947	0.405401042	A1	S9
67.79921722	0.380656866	A1	S9
67.85886497	0.370659966	A1	S9
67.91851272	0.38056839	A1	S9
67.97816047	0.404589041	A1	S9
68.03780822	0.431857426	A1	S9
68.09745597	0.454966275	A1	S9
68.15710372	0.474346543	A1	S9
68.21675147	0.489699973	A1	S9
68.27639922	0.498587223	A1	S9
68.33604697	0.502980439	A1	S9
68.39569472	0.506699464	A1	S9
68.45534247	0.516139395	A1	S9
68.51499022	0.537239594	A1	S9
68.57463796	0.56710568	A1	S9
68.63428571	0.599808824	A1	S9
68.69393346	0.628895874	A1	S9
68.75358121	0.651461124	A1	S9
68.81322896	0.671751908	A1	S9
68.87287671	0.699448185	A1	S9
68.93252446	0.742658229	A1	S9
68.99217221	0.798930673	A1	S9
69.05181996	0.860823327	A1	S9
69.11146771	0.923621531	A1	S9
69.17111546	0.983133604	A1	S9
69.23076321	1.035328622	A1	S9
69.29041096	1.079198955	A1	S9
