Cycles	Fluorescence	Sample	genotype
1	0.101902915	A1	N
2	0.01131948	A1	N
3	-0.073305418	A1	N
4	0.039961027	A1	N
5	0.009545111	A1	N
6	0.012479799	A1	N
7	-0.090362346	A1	N
8	0.017327827	A1	N
9	-0.140398684	A1	N
10	-0.119359345	A1	N
11	-0.191657666	A1	N
12	-0.194454202	A1	N
13	-0.216319193	A1	N
14	-0.218224822	A1	N
15	-0.431046751	A1	N
16	-0.458583394	A1	N
17	-0.374191343	A1	N
18	-0.350276027	A1	N
19	-0.506262554	A1	N
20	-0.475160988	A1	N
21	-0.502664689	A1	N
22	-0.556822664	A1	N
23	-0.550491296	A1	N
24	-0.661636785	A1	N
25	-0.606529111	A1	N
26	-0.627848353	A1	N
27	-0.717634204	A1	N
28	-0.659920845	A1	N
29	-0.732805472	A1	N
30	-0.818115528	A1	N
31	-0.84303508	A1	N
32	-0.8111886	A1	N
33	-0.814714513	A1	N
34	-0.914430795	A1	N
35	-0.918787286	A1	N
36	-0.917962172	A1	N
37	-0.8594014	A1	N
38	-0.888765011	A1	N
39	-0.918169115	A1	N
40	-0.72729251	A1	N
41	-0.429599148	A1	N
42	0.072185496	A1	N
43	0.845127218	A1	N
44	2.12834164	A1	N
45	3.596393679	A1	N
1	-0.1018647	A2	N
2	0.041072119	A2	N
3	-0.01373414	A2	N
4	0.093711968	A2	N
5	-0.011116022	A2	N
6	-0.109933924	A2	N
7	-0.106407963	A2	N
8	-0.232438579	A2	N
9	-0.177972735	A2	N
10	-0.233466312	A2	N
11	-0.277411901	A2	N
12	-0.305213781	A2	N
13	-0.376932498	A2	N
14	-0.302624269	A2	N
15	-0.429046888	A2	N
16	-0.379169533	A2	N
17	-0.349759457	A2	N
18	-0.428206174	A2	N
19	-0.500805453	A2	N
20	-0.446106133	A2	N
21	-0.52296383	A2	N
22	-0.574457934	A2	N
23	-0.619724392	A2	N
24	-0.547889876	A2	N
25	-0.648051379	A2	N
26	-0.61833842	A2	N
27	-0.678251752	A2	N
28	-0.725500374	A2	N
29	-0.719757976	A2	N
30	-0.750385086	A2	N
31	-0.774787902	A2	N
32	-0.719988581	A2	N
33	-0.799818457	A2	N
34	-0.844843406	A2	N
35	-0.874552528	A2	N
36	-0.874243926	A2	N
37	-0.844638216	A2	N
38	-0.923466836	A2	N
39	-0.799310935	A2	N
40	-0.694241304	A2	N
41	-0.563780538	A2	N
42	-0.136770259	A2	N
43	0.598783667	A2	N
44	1.794262303	A2	N
45	3.368984158	A2	N
1	-0.068621318	A3	S23
2	0.112873075	A3	S23
3	-0.063560163	A3	S23
4	0.017984959	A3	S23
5	-0.011156011	A3	S23
6	-0.056141861	A3	S23
7	-0.148598341	A3	S23
8	-0.196059194	A3	S23
9	-0.154192176	A3	S23
10	-0.282747159	A3	S23
11	-0.297514112	A3	S23
12	-0.301046573	A3	S23
13	-0.46524363	A3	S23
14	-0.394691933	A3	S23
15	-0.540375774	A3	S23
16	-0.541580842	A3	S23
17	-0.560037776	A3	S23
18	-0.514866457	A3	S23
19	-0.6803663	A3	S23
20	-0.601594169	A3	S23
21	-0.456676247	A3	S23
22	-0.433476881	A3	S23
23	-0.060054172	A3	S23
24	0.566642493	A3	S23
