temperature	df/dt	Sample	genotype
64.15	0.013673086	C1	S23
64.20990215	0.013673086	C1	S23
64.26980431	0.13243018	C1	S23
64.32970646	0.258841553	C1	S23
64.38960861	0.378342292	C1	S23
64.44951076	0.47351083	C1	S23
64.50941292	0.532511282	C1	S23
64.56931507	0.580716067	C1	S23
64.62921722	0.649705728	C1	S23
64.68911937	0.737517467	C1	S23
64.74902153	0.833171283	C1	S23
64.80892368	0.927268911	C1	S23
64.86882583	1.015035578	C1	S23
64.92872798	1.096361071	C1	S23
64.98863014	1.168586856	C1	S23
65.04853229	1.227169665	C1	S23
65.10843444	1.270717169	C1	S23
65.16833659	1.300553924	C1	S23
65.22823875	1.32033198	C1	S23
65.2881409	1.333398968	C1	S23
65.34804305	1.343431649	C1	S23
65.40794521	1.350362036	C1	S23
65.46784736	1.35320305	C1	S23
65.52774951	1.35091433	C1	S23
65.58765166	1.337526334	C1	S23
65.64755382	1.314420782	C1	S23
65.70745597	1.289887303	C1	S23
65.76735812	1.269124103	C1	S23
65.82726027	1.254504016	C1	S23
65.88716243	1.243507876	C1	S23
65.94706458	1.233381679	C1	S23
66.00696673	1.227439319	C1	S23
66.06686888	1.226222774	C1	S23
66.12677104	1.225616031	C1	S23
66.18667319	1.22430221	C1	S23
66.24657534	1.224224913	C1	S23
66.3064775	1.223209449	C1	S23
66.36637965	1.220208362	C1	S23
66.4262818	1.22061599	C1	S23
66.48618395	1.225291222	C1	S23
66.54608611	1.226570692	C1	S23
66.60598826	1.218618963	C1	S23
66.66589041	1.201764399	C1	S23
66.72579256	1.180945924	C1	S23
66.78569472	1.163065078	C1	S23
66.84559687	1.150081831	C1	S23
66.90549902	1.138968055	C1	S23
66.96540117	1.124584615	C1	S23
67.02530333	1.10988219	C1	S23
67.08520548	1.104753909	C1	S23
67.14510763	1.108644358	C1	S23
67.20500978	1.116614087	C1	S23
67.26491194	1.128754439	C1	S23
67.32481409	1.144339377	C1	S23
67.38471624	1.162592664	C1	S23
67.4446184	1.177642242	C1	S23
67.50452055	1.180560121	C1	S23
67.5644227	1.170993447	C1	S23
67.62432485	1.15298036	C1	S23
67.68422701	1.12804873	C1	S23
67.74412916	1.098484185	C1	S23
67.80403131	1.072571073	C1	S23
67.86393346	1.061987467	C1	S23
67.92383562	1.069554941	C1	S23
67.98373777	1.087511769	C1	S23
68.04363992	1.10663342	C1	S23
68.10354207	1.122240219	C1	S23
68.16344423	1.135149171	C1	S23
68.22334638	1.147626672	C1	S23
68.28324853	1.155657721	C1	S23
68.34315068	1.152260894	C1	S23
68.40305284	1.136963612	C1	S23
68.46295499	1.114143871	C1	S23
68.52285714	1.091461627	C1	S23
68.5827593	1.07564699	C1	S23
68.64266145	1.069129562	C1	S23
68.7025636	1.072201288	C1	S23
68.76246575	1.082942713	C1	S23
68.82236791	1.096633539	C1	S23
68.88227006	1.111470884	C1	S23
68.94217221	1.126496006	C1	S23
69.00207436	1.139537125	C1	S23
69.06197652	1.146989808	C1	S23
69.12187867	1.149504808	C1	S23
69.18178082	1.150651221	C1	S23
69.24168297	1.149637016	C1	S23
69.30158513	1.147080286	C1	S23
69.36148728	1.14458719	C1	S23
69.42138943	1.1430022	C1	S23
69.48129159	1.139254129	C1	S23
69.54119374	1.127912687	C1	S23
69.60109589	1.111963574	C1	S23
69.66099804	1.100146693	C1	S23
69.7209002	1.095875992	C1	S23
69.78080235	1.1002964	C1	S23
69.8407045	1.113176678	C1	S23
69.90060665	1.129909452	C1	S23
69.96050881	1.145718958	C1	S23
70.02041096	1.158429892	C1	S23
70.08031311	1.169539569	C1	S23
70.14021526	1.183003751	C1	S23
70.20011742	1.197917555	C1	S23
70.26001957	1.204964015	C1	S23
70.31992172	1.20260983	C1	S23
70.37982387	1.197965331	C1	S23
70.43972603	1.191447979	C1	S23
70.49962818	1.183424861	C1	S23
70.55953033	1.179260664	C1	S23
70.61943249	1.18190561	C1	S23
70.67933464	1.190857282	C1	S23
70.73923679	1.211627178	C1	S23
70.79913894	1.246465411	C1	S23
70.8590411	1.285940941	C1	S23
70.91894325	1.321601693	C1	S23
70.9788454	1.351696212	C1	S23
71.03874755	1.375145853	C1	S23
71.09864971	1.389099416	C1	S23
71.15855186	1.394783385	C1	S23
71.21845401	1.400873407	C1	S23
71.27835616	1.413953114	C1	S23
71.33825832	1.433289769	C1	S23
71.39816047	1.457522132	C1	S23
71.45806262	1.48619327	C1	S23
71.51796477	1.517898761	C1	S23
71.57786693	1.552610853	C1	S23
71.63776908	1.590272273	C1	S23
71.69767123	1.629198179	C1	S23
71.75757339	1.667211703	C1	S23
71.81747554	1.705845847	C1	S23
71.87737769	1.749479349	C1	S23
71.93727984	1.799332636	C1	S23
71.997182	1.854878858	C1	S23
72.05708415	1.913733721	C1	S23
72.1169863	1.97520375	C1	S23
72.17688845	2.045520335	C1	S23
72.23679061	2.123913173	C1	S23
72.29669276	2.205344145	C1	S23
72.35659491	2.289917752	C1	S23
72.41649706	2.37477443	C1	S23
72.47639922	2.466544799	C1	S23
72.53630137	2.572273433	C1	S23
72.59620352	2.689887462	C1	S23
72.65610568	2.819544605	C1	S23
72.71600783	2.956997481	C1	S23
72.77590998	3.090974452	C1	S23
72.83581213	3.215874512	C1	S23
72.89571429	3.32785426	C1	S23
72.95561644	3.425758475	C1	S23
73.01551859	3.523611395	C1	S23
73.07542074	3.636831595	C1	S23
73.1353229	3.76878065	C1	S23
73.19522505	3.91158471	C1	S23
73.2551272	4.061174131	C1	S23
73.31502935	4.22456234	C1	S23
73.37493151	4.404328375	C1	S23
73.43483366	4.596247645	C1	S23
73.49473581	4.792576641	C1	S23
73.55463796	4.981087523	C1	S23
73.61454012	5.156225343	C1	S23
73.67444227	5.320640903	C1	S23
73.73434442	5.477146618	C1	S23
73.79424658	5.634618171	C1	S23
73.85414873	5.807752575	C1	S23
73.91405088	5.995214484	C1	S23
73.97395303	6.174011892	C1	S23
74.03385519	6.33768668	C1	S23
74.09375734	6.495914536	C1	S23
74.15365949	6.64708599	C1	S23
74.21356164	6.78685694	C1	S23
74.2734638	6.901155007	C1	S23
74.33336595	6.96783624	C1	S23
74.3932681	7.000394471	C1	S23
74.45317025	7.039910152	C1	S23
74.51307241	7.097591708	C1	S23
74.57297456	7.15209711	C1	S23
74.63287671	7.193869069	C1	S23
74.69277886	7.22868326	C1	S23
74.75268102	7.2563401	C1	S23
74.81258317	7.278747001	C1	S23
74.87248532	7.298344554	C1	S23
