Cycles	Fluorescence	Sample	genotype
1	0.034252316	A1	N
2	-0.145524409	A1	N
3	-0.083198499	A1	N
4	0.095849942	A1	N
5	0.158409214	A1	N
6	-0.025536249	A1	N
7	0.157779503	A1	N
8	0.038956758	A1	N
9	0.040291473	A1	N
10	0.106978621	A1	N
11	0.106224486	A1	N
12	0.230960555	A1	N
13	0.050472914	A1	N
14	-0.066197373	A1	N
15	0.056551512	A1	N
16	0.122282393	A1	N
17	0.188037541	A1	N
18	0.068247402	A1	N
19	0.127806451	A1	N
20	0.252575365	A1	N
21	0.257645515	A1	N
22	0.132814357	A1	N
23	0.071079319	A1	N
24	0.190083804	A1	N
25	0.256168464	A1	N
26	0.192848016	A1	N
27	0.263308635	A1	N
28	0.135188006	A1	N
29	0.204768553	A1	N
30	0.203888863	A1	N
31	0.259097141	A1	N
32	0.38492906	A1	N
33	0.625499102	A1	N
34	0.817177192	A1	N
35	1.304240106	A1	N
36	2.139891108	A1	N
37	3.15184129	A1	N
38	4.297995627	A1	N
39	5.355184378	A1	N
40	6.576592918	A1	N
1	-0.036351645	A2	N
2	-0.149911746	A2	N
3	-0.148108348	A2	N
4	0.194640412	A2	N
5	0.081731177	A2	N
6	0.021648504	A2	N
7	0.023581704	A2	N
8	0.025620964	A2	N
9	0.026814964	A2	N
10	0.090355894	A2	N
11	0.14729659	A2	N
12	0.150654704	A2	N
13	0.03670873	A2	N
14	0.099221947	A2	N
15	0.15824544	A2	N
16	0.105225254	A2	N
17	0.167881743	A2	N
18	0.227956613	A2	N
19	0.284576108	A2	N
20	0.287318296	A2	N
21	0.350459629	A2	N
22	0.231521455	A2	N
23	0.230892337	A2	N
24	0.34390752	A2	N
25	0.348985341	A2	N
26	0.404775138	A2	N
27	0.3561999	A2	N
28	0.350309177	A2	N
29	0.358899534	A2	N
30	0.416232182	A2	N
31	0.351805703	A2	N
32	0.471347232	A2	N
33	0.467116718	A2	N
34	0.415793024	A2	N
35	0.354789175	A2	N
36	0.514140224	A2	N
37	0.476499247	A2	N
38	0.815742461	A2	N
39	1.173231544	A2	N
40	1.636846336	A2	N
1	0.03099983	A3	N
2	-0.133019206	A3	N
3	-0.130917394	A3	N
4	0.142608877	A3	N
5	0.089716781	A3	N
6	0.031610941	A3	N
7	0.144206999	A3	N
8	-0.019173432	A3	N
9	0.258476116	A3	N
10	0.265499886	A3	N
11	0.209342159	A3	N
12	0.324041852	A3	N
13	0.159408164	A3	N
14	0.053832589	A3	N
15	0.221827912	A3	N
16	0.17170725	A3	N
17	0.177116199	A3	N
18	0.235083702	A3	N
19	0.177822741	A3	N
20	0.292300714	A3	N
21	0.297861944	A3	N
22	0.350556339	A3	N
23	0.182516858	A3	N
24	0.346307382	A3	N
25	0.351908573	A3	N
26	0.349245933	A3	N
27	0.415518441	A3	N
28	0.520245926	A3	N
29	0.809627921	A3	N
30	1.199691022	A3	N
31	1.805514932	A3	N
32	2.816260666	A3	N
33	3.758307103	A3	N
34	4.947448031	A3	N
35	5.836274945	A3	N
36	7.080562731	A3	N
37	7.924791916	A3	N
38	8.622710549	A3	N
39	9.318786577	A3	N
40	9.872677481	A3	N
1	-0.044771846	A4	S23
2	-0.096909415	A4	S23
3	-0.148408006	A4	S23
4	0.116936697	A4	S23
5	0.119091067	A4	S23
6	0.009289658	A4	S23
7	0.06489051	A4	S23
8	0.067041557	A4	S23
9	0.014758398	A4	S23
10	0.128341109	A4	S23
11	0.020308979	A4	S23
12	0.023807083	A4	S23
13	0.078973535	A4	S23
14	-0.023616766	A4	S23
15	-0.076141545	A4	S23
16	0.09042639	A4	S23
17	-0.012593227	A4	S23
18	-0.010512813	A4	S23
19	0.04209844	A4	S23
20	0.098887954	A4	S23
21	0.158033394	A4	S23
22	0.101139449	A4	S23
23	0.100510788	A4	S23
24	0.421482996	A4	S23
25	0.643378202	A4	S23
26	1.127314932	A4	S23
27	1.789661624	A4	S23
28	2.700998083	A4	S23
29	3.746114563	A4	S23
30	4.937363413	A4	S23
31	5.897980734	A4	S23
32	6.936404195	A4	S23
33	7.791648062	A4	S23
34	8.518890943	A4	S23
35	9.161785501	A4	S23
36	9.653330122	A4	S23
37	9.998140953	A4	S23
38	10.23610462	A4	S23
39	10.48030528	A4	S23
40	10.63684388	A4	S23
1	0.154730984	A6	N
2	-0.052524709	A6	N
3	-0.051038358	A6	N
4	0.103614385	A6	N
5	0.052996194	A6	N
6	-0.053047512	A6	N
7	0.000531334	A6	N
8	-0.154378987	A6	N
9	0.055116857	A6	N
10	0.059533326	A6	N
11	0.006885253	A6	N
12	0.009323378	A6	N
13	0.062582307	A6	N
14	-0.143282594	A6	N
15	-0.089879028	A6	N
16	-0.0340976	A6	N
17	0.021770812	A6	N
18	0.02331499	A6	N
19	-0.030245623	A6	N
20	-0.133537988	A6	N
21	-0.024853075	A6	N
22	0.025880515	A6	N
23	-0.079796735	A6	N
24	0.023210329	A6	N
25	0.026716544	A6	N
26	-0.080212011	A6	N
27	-0.021409169	A6	N
28	-0.078342755	A6	N
29	-0.020229097	A6	N
30	0.08437124	A6	N
31	0.185115126	A6	N
32	0.292684535	A6	N
33	0.605592171	A6	N
34	0.981010556	A6	N
35	1.664649856	A6	N
36	2.700014402	A6	N
37	3.891887808	A6	N
38	5.141963469	A6	N
39	6.161128271	A6	N
40	7.47794035	A6	N
1	0.196205983	A7	S28
2	-0.011154011	A7	S28
3	-0.113473389	A7	S28
4	0.093252043	A7	S28
5	0.148140723	A7	S28
6	-0.116765365	A7	S28
7	-0.009673179	A7	S28
8	-0.111812145	A7	S28
9	-0.110322484	A7	S28
10	-0.103092951	A7	S28
11	-0.208841828	A7	S28
12	-0.099941982	A7	S28
13	-0.098432365	A7	S28
14	-0.198044087	A7	S28
15	-0.407117993	A7	S28
16	-0.243889046	A7	S28
