temperature	df/dt	Sample	genotype
64.24	-0.069633174	A1	S23
64.29966732	-0.069633174	A1	S23
64.35933464	-0.087714695	A1	S23
64.41900196	-0.116299833	A1	S23
64.47866928	-0.1201689	A1	S23
64.53833659	-0.082510445	A1	S23
64.59800391	-0.029069304	A1	S23
64.65767123	0.010593068	A1	S23
64.71733855	0.026114532	A1	S23
64.77700587	0.042093982	A1	S23
64.83667319	0.079896924	A1	S23
64.89634051	0.133349271	A1	S23
64.95600783	0.189791684	A1	S23
65.01567515	0.238913059	A1	S23
65.07534247	0.278618776	A1	S23
65.13500978	0.310482628	A1	S23
65.1946771	0.332618699	A1	S23
65.25434442	0.34215	A1	S23
65.31401174	0.342898109	A1	S23
65.37367906	0.339939121	A1	S23
65.43334638	0.336442479	A1	S23
65.4930137	0.330850283	A1	S23
65.55268102	0.314818139	A1	S23
65.61234834	0.286283167	A1	S23
65.67201566	0.252292243	A1	S23
65.73168297	0.216876264	A1	S23
65.79135029	0.181877954	A1	S23
65.85101761	0.15222902	A1	S23
65.91068493	0.134623743	A1	S23
65.97035225	0.135092688	A1	S23
66.03001957	0.1554058	A1	S23
66.08968689	0.189320873	A1	S23
66.14935421	0.226016927	A1	S23
66.20902153	0.257537595	A1	S23
66.26868885	0.28254377	A1	S23
66.32835616	0.304901507	A1	S23
66.38802348	0.329292702	A1	S23
66.4476908	0.357198338	A1	S23
66.50735812	0.385006972	A1	S23
66.56702544	0.409142638	A1	S23
66.62669276	0.432233593	A1	S23
66.68636008	0.457546659	A1	S23
66.7460274	0.485385124	A1	S23
66.80569472	0.514377316	A1	S23
66.86536204	0.542497514	A1	S23
66.92502935	0.568178256	A1	S23
66.98469667	0.589074503	A1	S23
67.04436399	0.607955437	A1	S23
67.10403131	0.629185301	A1	S23
67.16369863	0.648898577	A1	S23
67.22336595	0.664295829	A1	S23
67.28303327	0.681214292	A1	S23
67.34270059	0.705579705	A1	S23
67.40236791	0.738470381	A1	S23
67.46203523	0.781550886	A1	S23
67.52170254	0.835615554	A1	S23
67.58136986	0.897508878	A1	S23
67.64103718	0.959189042	A1	S23
67.7007045	1.011394343	A1	S23
67.76037182	1.050393067	A1	S23
67.82003914	1.078315154	A1	S23
67.87970646	1.102348374	A1	S23
67.93937378	1.132014447	A1	S23
67.9990411	1.174355498	A1	S23
68.05870841	1.229980718	A1	S23
68.11837573	1.296642446	A1	S23
68.17804305	1.370635691	A1	S23
68.23771037	1.450802942	A1	S23
68.29737769	1.537809848	A1	S23
68.35704501	1.628041027	A1	S23
68.41671233	1.715203082	A1	S23
68.47637965	1.794414856	A1	S23
68.53604697	1.865880723	A1	S23
68.59571429	1.938824713	A1	S23
68.6553816	2.021186561	A1	S23
68.71504892	2.111445916	A1	S23
68.77471624	2.205195589	A1	S23
68.83438356	2.299538577	A1	S23
68.89405088	2.395627721	A1	S23
68.9537182	2.497224881	A1	S23
69.01338552	2.609433648	A1	S23
69.07305284	2.735867091	A1	S23
69.13272016	2.87513579	A1	S23
69.19238748	3.022197559	A1	S23
69.25205479	3.164423241	A1	S23
69.31172211	3.290765069	A1	S23
69.37138943	3.402449488	A1	S23
69.43105675	3.497352158	A1	S23
69.49072407	3.57981818	A1	S23
69.55039139	3.672612506	A1	S23
69.61005871	3.788138682	A1	S23
69.66972603	3.924081	A1	S23
69.72939335	4.076645842	A1	S23
69.78906067	4.238514524	A1	S23
69.84872798	4.408685126	A1	S23
69.9083953	4.586186698	A1	S23
69.96806262	4.759388878	A1	S23
70.02772994	4.921228495	A1	S23
70.08739726	5.075580364	A1	S23
70.14706458	5.221771881	A1	S23
70.2067319	5.360991611	A1	S23
70.26639922	5.499469131	A1	S23
70.32606654	5.633299557	A1	S23
70.38573386	5.756820212	A1	S23
70.44540117	5.873789105	A1	S23
70.50506849	5.996408011	A1	S23
70.56473581	6.141782706	A1	S23
70.62440313	6.324399811	A1	S23
70.68407045	6.537637358	A1	S23
70.74373777	6.763311857	A1	S23
70.80340509	6.998326435	A1	S23
70.86307241	7.238531639	A1	S23
70.92273973	7.458963237	A1	S23
70.98240705	7.640478864	A1	S23
71.04207436	7.785533636	A1	S23
71.10174168	7.896925165	A1	S23
71.161409	7.977968633	A1	S23
71.22107632	8.035452761	A1	S23
71.28074364	8.061377429	A1	S23
71.34041096	8.045059735	A1	S23
71.40007828	8.004386016	A1	S23
71.4597456	7.97487331	A1	S23
71.51941292	7.974913598	A1	S23
71.57908023	8.006093407	A1	S23
71.63874755	8.053288876	A1	S23
71.69841487	8.097196321	A1	S23
71.75808219	8.136812707	A1	S23
71.81774951	8.169103265	A1	S23
71.87741683	8.181810923	A1	S23
71.93708415	8.155492707	A1	S23
71.99675147	8.06320898	A1	S23
72.05641879	7.895523306	A1	S23
72.11608611	7.673068126	A1	S23
72.17575342	7.421286932	A1	S23
72.23542074	7.153945736	A1	S23
72.29508806	6.875817122	A1	S23
72.35475538	6.586325869	A1	S23
72.4144227	6.298438236	A1	S23
72.47409002	6.03817931	A1	S23
72.53375734	5.814684107	A1	S23
72.59342466	5.620338751	A1	S23
72.65309198	5.448576328	A1	S23
72.7127593	5.289608859	A1	S23
72.77242661	5.123709602	A1	S23
72.83209393	4.935578458	A1	S23
72.89176125	4.716744539	A1	S23
72.95142857	4.471716135	A1	S23
73.01109589	4.219385305	A1	S23
73.07076321	3.967722604	A1	S23
73.13043053	3.71937651	A1	S23
73.19009785	3.482951092	A1	S23
73.24976517	3.268559997	A1	S23
73.30943249	3.078703646	A1	S23
73.3690998	2.909829806	A1	S23
73.42876712	2.759319176	A1	S23
73.48843444	2.622567466	A1	S23
73.54810176	2.491446913	A1	S23
73.60776908	2.361104623	A1	S23
73.6674364	2.230205245	A1	S23
73.72710372	2.097361806	A1	S23
73.78677104	1.963731931	A1	S23
73.84643836	1.831159301	A1	S23
73.90610568	1.699086415	A1	S23
73.96577299	1.569261753	A1	S23
74.02544031	1.447332501	A1	S23
74.08510763	1.33539971	A1	S23
74.14477495	1.233800162	A1	S23
74.20444227	1.142677476	A1	S23
74.26410959	1.0594396	A1	S23
74.32377691	0.983212694	A1	S23
74.38344423	0.915335719	A1	S23
74.44311155	0.855706412	A1	S23
74.50277886	0.803002518	A1	S23
74.56244618	0.754794517	A1	S23
74.6221135	0.709601591	A1	S23
74.68178082	0.666860122	A1	S23
74.74144814	0.625665105	A1	S23
74.80111546	0.586787105	A1	S23
74.86078278	0.551881368	A1	S23
74.9204501	0.519868165	A1	S23
74.98011742	0.489770496	A1	S23
75.03978474	0.462414977	A1	S23
75.09945205	0.4380224	A1	S23
75.15911937	0.416671016	A1	S23
75.21878669	0.398361143	A1	S23
75.27845401	0.382601449	A1	S23
75.33812133	0.36790788	A1	S23
75.39778865	0.352797729	A1	S23
75.45745597	0.337266558	A1	S23
75.51712329	0.32262983	A1	S23
75.57679061	0.30931679	A1	S23
75.63645793	0.296506077	A1	S23
75.69612524	0.284053336	A1	S23
75.75579256	0.27227711	A1	S23
75.81545988	0.262037268	A1	S23
75.8751272	0.253796828	A1	S23
75.93479452	0.246415299	A1	S23
75.99446184	0.238611016	A1	S23
76.05412916	0.229866906	A1	S23
76.11379648	0.220852031	A1	S23
76.1734638	0.213586491	A1	S23
76.23313112	0.20952596	A1	S23
76.29279843	0.20884213	A1	S23
76.35246575	0.210750352	A1	S23
76.41213307	0.214462573	A1	S23
76.47180039	0.21973865	A1	S23
76.53146771	0.224674792	A1	S23
76.59113503	0.226580606	A1	S23
76.65080235	0.224542535	A1	S23
76.71046967	0.219088902	A1	S23
76.77013699	0.211752984	A1	S23
76.82980431	0.204685462	A1	S23
76.88947162	0.199873	A1	S23
76.94913894	0.197711625	A1	S23
77.00880626	0.196827215	A1	S23
77.06847358	0.195743839	A1	S23
77.1281409	0.193090764	A1	S23
77.18780822	0.188922359	A1	S23
77.24747554	0.185105643	A1	S23
77.30714286	0.18290236	A1	S23
77.36681018	0.183124243	A1	S23
77.4264775	0.185195237	A1	S23
77.48614481	0.186494836	A1	S23
77.54581213	0.184556306	A1	S23
77.60547945	0.179280253	A1	S23
77.66514677	0.173414263	A1	S23
77.72481409	0.168562771	A1	S23
77.78448141	0.164283867	A1	S23
77.84414873	0.160193678	A1	S23
77.90381605	0.156643059	A1	S23
77.96348337	0.154511134	A1	S23
78.02315068	0.154020179	A1	S23
78.082818	0.154692218	A1	S23
78.14248532	0.155973854	A1	S23
78.20215264	0.157398711	A1	S23
78.26181996	0.159103103	A1	S23
78.32148728	0.161340195	A1	S23
78.3811546	0.163934608	A1	S23
78.44082192	0.165669477	A1	S23
78.50048924	0.16485159	A1	S23
78.56015656	0.161893505	A1	S23
78.61982387	0.158397824	A1	S23
78.67949119	0.156246165	A1	S23
78.73915851	0.156882201	A1	S23
78.79882583	0.159667889	A1	S23
78.85849315	0.16263356	A1	S23
78.91816047	0.164712853	A1	S23
78.97782779	0.166322757	A1	S23
79.03749511	0.167832902	A1	S23
79.09716243	0.168639532	A1	S23
79.15682975	0.168023892	A1	S23
79.21649706	0.166478072	A1	S23
79.27616438	0.164647271	A1	S23
79.3358317	0.162214108	A1	S23
79.39549902	0.160104495	A1	S23
79.45516634	0.160266533	A1	S23
79.51483366	0.16245938	A1	S23
79.57450098	0.165467588	A1	S23
79.6341683	0.168559341	A1	S23
79.69383562	0.17105882	A1	S23
79.75350294	0.172583246	A1	S23
79.81317025	0.173360497	A1	S23
79.87283757	0.17423612	A1	S23
79.93250489	0.175494793	A1	S23
79.99217221	0.176151006	A1	S23
80.05183953	0.174840975	A1	S23
80.11150685	0.171173254	A1	S23
80.17117417	0.166014192	A1	S23
80.23084149	0.161843376	A1	S23
80.29050881	0.160286628	A1	S23
80.35017613	0.15981275	A1	S23
