Cycles	Fluorescence	Sample	genotype
1	0.141305682	A1	N
2	0.086288056	A1	N
3	0.03248029	A1	N
4	0.026357844	A1	N
5	-0.069092955	A1	N
6	-0.076033235	A1	N
7	-0.11153775	A1	N
8	-0.094337067	A1	N
9	-0.103479385	A1	N
10	-0.137533698	A1	N
11	-0.163159925	A1	N
12	-0.136065031	A1	N
13	-0.1170099	A1	N
14	-0.135332813	A1	N
15	-0.132782344	A1	N
16	-0.008064649	A1	N
17	0.005139298	A1	N
18	0.021263906	A1	N
19	-0.029327679	A1	N
20	0.023827172	A1	N
21	-0.020902698	A1	N
22	-0.019456472	A1	N
23	-0.002631447	A1	N
24	-0.047761164	A1	N
25	-0.018559846	A1	N
26	0.034106718	A1	N
27	-0.001370617	A1	N
28	-0.02816345	A1	N
29	-0.02610577	A1	N
30	-0.017516212	A1	N
31	-0.01994289	A1	N
32	-0.028312891	A1	N
33	-0.021524528	A1	N
34	-0.037056183	A1	N
35	-0.038182229	A1	N
36	-0.00248646	A1	N
37	-0.028741852	A1	N
38	-0.02846565	A1	N
39	-0.025222466	A1	N
40	-0.045792892	A1	N
1	-0.029529813	A2	N
2	0.01890785	A2	N
3	0.026421687	A2	N
4	0.020049275	A2	N
5	-0.029199952	A2	N
6	-0.036178859	A2	N
7	-0.036431144	A2	N
8	-0.036714784	A2	N
9	-0.062070809	A2	N
10	-0.044510234	A2	N
11	-0.060659285	A2	N
12	-0.043396115	A2	N
13	-0.0590106	A2	N
14	-0.076292957	A2	N
15	-0.049282813	A2	N
16	0.004860522	A2	N
17	0.001558049	A2	N
18	0.008840833	A2	N
19	-0.014612108	A2	N
20	0.02749751	A2	N
21	-0.023284284	A2	N
22	-0.005448802	A2	N
23	0.035836642	A2	N
24	-0.015239944	A2	N
25	-0.004779743	A2	N
26	0.003452399	A2	N
27	-0.01351683	A2	N
28	0.002894421	A2	N
29	0.012735596	A2	N
30	0.012379322	A2	N
31	-0.014830481	A2	N
32	0.027114984	A2	N
33	-0.00826105	A2	N
34	-0.007034389	A2	N
35	0.000167625	A2	N
36	-0.008158573	A2	N
37	0.016898446	A2	N
38	-0.033342342	A2	N
39	-0.030997167	A2	N
40	-0.033250762	A2	N
1	-0.045947021	A3	N
2	-0.015565674	A3	N
3	0.007661349	A3	N
4	0.017649134	A3	N
5	-0.013592134	A3	N
6	0.003847324	A3	N
7	-0.01247388	A3	N
8	-0.020772794	A3	N
9	0.003030869	A3	N
10	-0.02824078	A3	N
11	-0.027666481	A3	N
12	-0.011064005	A3	N
13	-0.050109443	A3	N
14	-0.034592413	A3	N
15	-0.008573538	A3	N
16	0.009635104	A3	N
17	0.014355382	A3	N
18	-0.002826776	A3	N
19	-0.017223689	A3	N
20	0.015187382	A3	N
21	-0.009492299	A3	N
22	0.007693265	A3	N
23	-0.00094818	A3	N
24	-0.017855874	A3	N
25	-0.023801428	A3	N
26	-0.007848604	A3	N
27	-0.008054447	A3	N
28	0.007690061	A3	N
29	-0.031056824	A3	N
30	-0.015242818	A3	N
31	-0.017210173	A3	N
32	-0.017044462	A3	N
33	-0.026768349	A3	N
34	-0.025370655	A3	N
35	-0.042447279	A3	N
36	-0.050253596	A3	N
37	-0.026087837	A3	N
38	-0.04200666	A3	N
39	-0.055709238	A3	N
40	-0.049879831	A3	N
1	-0.025893296	A4	N
2	0.019034196	A4	N
3	0.018180526	A4	N
4	-0.018669832	A4	N
5	-0.002215013	A4	N
6	-0.016329877	A4	N
7	-0.016592708	A4	N
8	-0.040215757	A4	N
9	-0.024935915	A4	N
10	-0.03962323	A4	N
11	-0.031242012	A4	N
12	-0.038454434	A4	N
13	-0.052871852	A4	N
14	-0.04564785	A4	N
15	-0.043658304	A4	N
16	0.003313795	A4	N
17	-0.000121635	A4	N
18	0.022124917	A4	N
19	-0.022917803	A4	N
20	-0.014848	A4	N
21	0.015762521	A4	N
22	0.001301108	A4	N
23	-0.007105258	A4	N
24	-0.023574911	A4	N
25	-0.013635094	A4	N
26	-0.029417355	A4	N
27	-0.037496688	A4	N
28	-0.030151289	A4	N
29	-0.028760632	A4	N
30	-0.029172152	A4	N
31	-0.039118791	A4	N
32	-0.0156408	A4	N
33	-0.048643074	A4	N
34	-0.039448625	A4	N
35	-0.048255648	A4	N
36	-0.040155653	A4	N
37	-0.032310058	A4	N
38	-0.047730732	A4	N
39	-0.068670147	A4	N
40	-0.055333985	A4	N
1	0.177960078	A5	S5
2	0.091364822	A5	S5
3	0.059581763	A5	S5
4	-0.006078709	A5	S5
5	-0.058224616	A5	S5
6	-0.08664326	A5	S5
7	-0.132846806	A5	S5
8	-0.163799242	A5	S5
9	-0.187104847	A5	S5
10	-0.201124858	A5	S5
11	-0.238478139	A5	S5
12	-0.252948439	A5	S5
13	-0.25895937	A5	S5
14	-0.297950539	A5	S5
15	-0.279876863	A5	S5
16	-0.010673778	A5	S5
17	0.015113865	A5	S5
18	0.005883501	A5	S5
19	-0.006993413	A5	S5
20	0.001048033	A5	S5
21	-0.015051986	A5	S5
22	0.024759485	A5	S5
23	0.077452047	A5	S5
24	0.160300771	A5	S5
25	0.370012003	A5	S5
26	0.691126451	A5	S5
27	1.218680635	A5	S5
28	2.075003206	A5	S5
29	3.241837086	A5	S5
30	4.527838637	A5	S5
31	5.931254601	A5	S5
32	7.42561048	A5	S5
33	8.706400179	A5	S5
34	9.869564287	A5	S5
35	10.70874018	A5	S5
36	11.27750486	A5	S5
37	11.72266464	A5	S5
38	11.92296577	A5	S5
39	12.0347116	A5	S5
40	12.12316952	A5	S5
