temperature	df/dt	Sample	genotype
64.12	0.101801581	A1	S5
64.17996086	0.101801581	A1	S5
64.23992172	0.146691167	A1	S5
64.29988258	0.218901809	A1	S5
64.35984344	0.314646611	A1	S5
64.41980431	0.412953359	A1	S5
64.47976517	0.495640138	A1	S5
64.53972603	0.568547688	A1	S5
64.59968689	0.649328157	A1	S5
64.65964775	0.74233221	A1	S5
64.71960861	0.840936547	A1	S5
64.77956947	0.935591301	A1	S5
64.83953033	1.018437481	A1	S5
64.89949119	1.084217133	A1	S5
64.95945205	1.134072981	A1	S5
65.01941292	1.172704755	A1	S5
65.07937378	1.19902258	A1	S5
65.13933464	1.212765099	A1	S5
65.1992955	1.219725473	A1	S5
65.25925636	1.22435876	A1	S5
65.31921722	1.225290624	A1	S5
65.37917808	1.220533082	A1	S5
65.43913894	1.214791618	A1	S5
65.4990998	1.212892811	A1	S5
65.55906067	1.210379891	A1	S5
65.61902153	1.200410404	A1	S5
65.67898239	1.180319528	A1	S5
65.73894325	1.152015841	A1	S5
65.79890411	1.123923048	A1	S5
65.85886497	1.102067066	A1	S5
65.91882583	1.088864472	A1	S5
65.97878669	1.082549514	A1	S5
66.03874755	1.08047967	A1	S5
66.09870841	1.086555995	A1	S5
66.15866928	1.103569722	A1	S5
66.21863014	1.133773233	A1	S5
66.278591	1.175749058	A1	S5
66.33855186	1.216878734	A1	S5
66.39851272	1.245575049	A1	S5
66.45847358	1.259166999	A1	S5
66.51843444	1.257821187	A1	S5
66.5783953	1.244563173	A1	S5
66.63835616	1.226812546	A1	S5
66.69831703	1.210922285	A1	S5
66.75827789	1.196830182	A1	S5
66.81823875	1.185666856	A1	S5
66.87819961	1.179464539	A1	S5
66.93816047	1.180119892	A1	S5
66.99812133	1.190890761	A1	S5
67.05808219	1.209688202	A1	S5
67.11804305	1.231663618	A1	S5
67.17800391	1.253859548	A1	S5
67.23796477	1.274266948	A1	S5
67.29792564	1.285688192	A1	S5
67.3578865	1.286803875	A1	S5
67.41784736	1.286294448	A1	S5
67.47780822	1.289987347	A1	S5
67.53776908	1.298782419	A1	S5
67.59772994	1.307872406	A1	S5
67.6576908	1.314389551	A1	S5
67.71765166	1.317673758	A1	S5
67.77761252	1.319558933	A1	S5
67.83757339	1.325462998	A1	S5
67.89753425	1.339910305	A1	S5
67.95749511	1.362520361	A1	S5
68.01745597	1.390745646	A1	S5
68.07741683	1.422767451	A1	S5
68.13737769	1.454678285	A1	S5
68.19733855	1.482467899	A1	S5
68.25729941	1.506694429	A1	S5
68.31726027	1.5294153	A1	S5
68.37722114	1.548055531	A1	S5
68.437182	1.56241001	A1	S5
68.49714286	1.574179556	A1	S5
68.55710372	1.583827159	A1	S5
68.61706458	1.594585429	A1	S5
68.67702544	1.612400182	A1	S5
68.7369863	1.638170392	A1	S5
68.79694716	1.66843985	A1	S5
68.85690802	1.703054461	A1	S5
68.91686888	1.742886151	A1	S5
68.97682975	1.787236932	A1	S5
69.03679061	1.835081019	A1	S5
69.09675147	1.887963395	A1	S5
69.15671233	1.945389031	A1	S5
69.21667319	2.002253694	A1	S5
69.27663405	2.053467944	A1	S5
69.33659491	2.098401488	A1	S5
69.39655577	2.140593832	A1	S5
69.45651663	2.182759172	A1	S5
69.5164775	2.223676539	A1	S5
69.57643836	2.261194509	A1	S5
69.63639922	2.293679188	A1	S5
69.69636008	2.323039575	A1	S5
69.75632094	2.35245856	A1	S5
69.8162818	2.384028936	A1	S5
69.87624266	2.42499522	A1	S5
69.93620352	2.47828229	A1	S5
69.99616438	2.541840186	A1	S5
70.05612524	2.614852912	A1	S5
70.11608611	2.696660853	A1	S5
70.17604697	2.781888365	A1	S5
70.23600783	2.861427024	A1	S5
70.29596869	2.93626352	A1	S5
70.35592955	3.014544541	A1	S5
70.41589041	3.095679872	A1	S5
70.47585127	3.178481515	A1	S5
70.53581213	3.262122108	A1	S5
70.59577299	3.345893141	A1	S5
70.65573386	3.436387681	A1	S5
70.71569472	3.534073181	A1	S5
70.77565558	3.636869146	A1	S5
70.83561644	3.744514019	A1	S5
70.8955773	3.854312594	A1	S5
70.95553816	3.961363085	A1	S5
71.01549902	4.068778009	A1	S5
71.07545988	4.177788708	A1	S5
71.13542074	4.280333251	A1	S5
71.1953816	4.379532335	A1	S5
71.25534247	4.486386397	A1	S5
71.31530333	4.595044683	A1	S5
71.37526419	4.692381688	A1	S5
71.43522505	4.78150494	A1	S5
71.49518591	4.869135134	A1	S5
71.55514677	4.956219596	A1	S5
71.61510763	5.040547997	A1	S5
71.67506849	5.131294783	A1	S5
71.73502935	5.235423766	A1	S5
71.79499022	5.347489937	A1	S5
71.85495108	5.460012515	A1	S5
71.91491194	5.565593947	A1	S5
71.9748728	5.651977461	A1	S5
72.03483366	5.710104098	A1	S5
72.09479452	5.744244352	A1	S5
72.15475538	5.762580326	A1	S5
72.21471624	5.770781901	A1	S5
72.2746771	5.769228739	A1	S5
72.33463796	5.749275284	A1	S5
72.39459883	5.707026484	A1	S5
72.45455969	5.654220609	A1	S5
72.51452055	5.604341829	A1	S5
72.57448141	5.569879934	A1	S5
72.63444227	5.558168123	A1	S5
72.69440313	5.55849678	A1	S5
72.75436399	5.55144852	A1	S5
72.81432485	5.535555044	A1	S5
72.87428571	5.515876306	A1	S5
72.93424658	5.476088745	A1	S5
72.99420744	5.399978852	A1	S5
73.0541683	5.290856777	A1	S5
73.11412916	5.151983331	A1	S5
73.17409002	4.985087269	A1	S5
73.23405088	4.79945991	A1	S5
73.29401174	4.606210141	A1	S5
73.3539726	4.413695908	A1	S5
73.41393346	4.236533981	A1	S5
73.47389432	4.085744396	A1	S5
73.53385519	3.954133295	A1	S5
73.59381605	3.824899996	A1	S5
73.65377691	3.691675522	A1	S5
73.71373777	3.553488237	A1	S5
73.77369863	3.408032451	A1	S5
73.83365949	3.260732881	A1	S5
73.89362035	3.119593685	A1	S5
73.95358121	2.985971228	A1	S5
74.01354207	2.857142281	A1	S5
74.07350294	2.725678934	A1	S5
74.1334638	2.586304891	A1	S5
74.19342466	2.443872746	A1	S5
74.25338552	2.306556301	A1	S5
74.31334638	2.178769704	A1	S5
74.37330724	2.061635042	A1	S5
74.4332681	1.960021411	A1	S5
74.49322896	1.871551557	A1	S5
74.55318982	1.783554779	A1	S5
74.61315068	1.691002162	A1	S5
74.67311155	1.597467424	A1	S5
74.73307241	1.503176615	A1	S5
74.79303327	1.406633914	A1	S5
74.85299413	1.308493473	A1	S5
74.91295499	1.213346081	A1	S5
74.97291585	1.127946145	A1	S5
75.03287671	1.056063462	A1	S5
75.09283757	0.996239028	A1	S5
75.15279843	0.945719981	A1	S5
75.2127593	0.903887098	A1	S5
75.27272016	0.868966788	A1	S5
75.33268102	0.837624063	A1	S5
75.39264188	0.805337432	A1	S5
75.45260274	0.768454868	A1	S5
75.5125636	0.728950378	A1	S5
75.57252446	0.692631224	A1	S5
75.63248532	0.662915575	A1	S5
75.69244618	0.637242394	A1	S5
75.75240705	0.611408252	A1	S5
75.81236791	0.58428387	A1	S5
75.87232877	0.55818608	A1	S5
75.93228963	0.535454615	A1	S5
75.99225049	0.515268092	A1	S5
76.05221135	0.494759207	A1	S5
76.11217221	0.473062327	A1	S5
76.17213307	0.451877041	A1	S5
